	没想到2楼你们也很多人也要去。
	什么都没做。但什么都没做的。
	结果是什么？是他坚持下来了，懂我意思吗？他坚持下来了。
	那么他在上一波的那个阶段里面，他就赢了，就这么简单。所以说现在很多人一定说就这哥们说说ZZ哥好。开年到现在越来越没信心了。记住在你越来越没有信心的时候，再往下熬一熬熬到你彻底没有信心。
	的时候。
	就。
	快了。明白这。
	意思吗？就是不是熬到你没现金流，市场就要反转。不是每个人情况不一样，他熬到整个市场里边共振的那。
	一下就行了。就像2024年. 
	7月份、八月份两个月直播，咱们家一直摸到今年春将近，明年春色倍欢。就是在那个时候最难受的时候，哥们发SC喷我说你让我买的阿敏被套住了。先不说我他妈让不让他买，对吧？阿敏是你们的票，我没有。但是我详细的分析过一波阿敏，对吧？这我承认，已经发SC喷我了。
	我当时想可以有点意思，包括我当时三个固态哥是吧？我行，有点意思。但是说后面是924那种力度，这我也没见过，但只是大A永远都是把那波最不坚定的人给淘汰掉之后，最后是家人的家人来发钱分钱，25000里长征分拣就是这么简单。
	比如说刚才你们给我发。
	消息的这些，说是在新前锋群里边喷我的，说没说说了，我说别跟我学什么拿住不动，你拿不住吹牛逼，原话，说一年了我要吹牛逼然后信誓旦旦，Z哥你放心，我这回一定拿住不动。我说你吹牛逼，我一定在这吹牛逼。你咋不你吹牛逼？永远都是就无限循环，然后喷是吧？还有中中泰格是不是也赚麻了，对吧？扒一波起来对不对？
	但是咱说拿不住，所以说现在在新剑锋里边喷的这些人，他们上一波是在哪呢？是在宁子的古巴里。妈他们是。
	在名字。
	的古巴里面喷，现在没声了。我本来说名字在当时反弹到快24的时候，我说我要御驾亲征去古巴看一看。妈的搜这个关键词都没有我很气愤，我相当的气愤。荣耀的时候怎么一个人都没有了呢？哥们儿本来要御驾亲征，没了。现在知道转移了人换地儿了。
	对，***对，名字12的时候，**全是喷我的，说那什么什么卖卖鞋的出货了，找你们接盘是吧？22 23了，没人了，没人了。得搜ZGB是吗？没有转移了，去青年宫了是吧？
	所以别着急，很很正常，就是永远都是这样的，慢慢来很正常。但是这话我是真的没有阴阳怪气，也没有气氛，就在于真的见多了。我不早就说了吗？一**就让人炒股。二未来御林军就是6000人，我算过大概是百分之淘汰，75%不是我淘汰，是市场淘汰的。比如刚才那哥们儿说我没信心了什么的，是市场淘汰的，不是我我何德何能，我淘汰个毛线，我就是主播，我就是个卖鞋的，我聊天而已，对吧？外面是淘汰99%，对，别造神是吧，就来了别造神，就是外面淘汰99%，咱家淘汰75%，我这比例我我掐我我掐指一算，大概齐这个数。所以你看咱们今天现在我这边显示的，我不知道你们能不能看到，我这边显示的是2万人，你们这边说一万多是吗？可能咱们大家显示不一样，我这显示的是2万人，比正常的，比2个月前，大概此时此刻，现在是快九点，那点大概是少21%。这还是花钱的，花了钱了，关键我后台的续费率是不变的，然后还创了新高4.07万. 
	哪去了？
	说了缩量，说明市场差不多了，对吧？反正是空头区间，反正是大家都没有信心的时候了，这就叫做击穿。对肉丸咱们直播间是一个特别好的一个观察市场情绪的一个指标，就是大直播曾经大直播到过4万加，就出头那么一点点，然后稳定在后来稳定在3.6，现在就上周日是3.2。最后你掐指一算，大概齐缩了20%，今天也缩了20%，这。
	还是花钱。
	的对吧？还是花钱的。所以说我觉得。
	这就是市场。
	真真正正的常态，就是这样的常态。
	就是每一轮。
	把不坚定的，把中途放弃的，把承受不住的，然后把各种崩掉的淘汰掉。所以其实特别简单的一个事儿就在于我之前聊过，我说你什么都不会干，你什么都不会，这轮牛市你就弄俩一个alcohol对吧？Alcohol边找那个带翅膀的就能飞起来的那那那个品种对吧？然后你券商里边随便抡一个，就拿着他妈到最后6000点发财，没人能做到做不到没人能做到。
	所以但是我坚持做我想做的事情，因为为什么？因为绝大部分人，包括你们经常沉默的大多数，包括一波波带出来的老粉刺、新粉，你们是知道的，你们是会做了，那就行了。现在这不是新人之余说其他的黑的很重要，哥们儿很重要。六块钱，就因为六块钱，所以就算我把72降到了七块钱，他也骂，很正常。所以我今天我想开场一个是稍微的等等人，然后再一个是跟大家来来交流一下，说现在当前市场的整个的一个心态。就是目前来讲。
	咱们说从二三年。
	2024年2月份，25年二月份到26年2月份两年了。最难的时候是24年的七月份跟8月份，那会儿是最难的时候，对吧？因为往下从3000一直接100到了2600，那把当时我记得我的净值曲线也回撤大概20%，那会儿还能给你们看净值曲线，对吧？那会儿是最难的时候，因为那会儿属于全市场都没有人相信什么什么咱们要救市，或者是什么财政跟国家没有。那个真的是黎明前最黑暗的时候，然后第二次就是4月7号。但是为什么？其实像现在这两个月的调整，就是你继续想想，你不用去想美丽的事情，大盘就正常走人，往回调怎么了？
	你抛开。
	整个的一个外围的新闻跟消息，像这种，你抛开外围的新闻消息，有涨就有跌，有涨就有跌，有涨就跌，有涨就有跌。
	而市场里边。
	靠什么杀跌？就是靠吓唬人杀跌，靠什么上涨呢？就是靠骗人上涨，等于说就市场里边都在特别兴奋，都在讲这故事那故事的时候，就是上涨。然后市场里边开始各种吓唬人的时候，吓唬人的时候，就是下就是下跌。有涨就有跌。
	其实这一次你看这个位置，你相对4月7号，当时包括你看你要单论跌幅记得吗？当时在去年春节前，我本来说只调一根，结果丫他妈调了三根，记得吧？就是这一波**这一波回撤10% 11，最大回撤11%点，这一波其实都比现在温柔很多。但是为什么很多人的心态在现在崩掉了呢？大家有没有想过为什么为什么在现在崩掉？有没有想过这个问题？
	我的观察来看的话，两个原因。第一个对预期整体的预期高了。就是说之前9 24后面来了一波人，或者是之前在这儿来的人，没赚过钱，明白吗？身边人也没人赚过钱，没见过钱。
	所以等于说。
	做的就预期不高，外加谨慎，外加听话。但是经历了一轮4月7之后的挖起来到这儿这位置了，身边有人赚到钱了。外加所有的媒体都在渲染是。
	慢牛牛预期变了。
	觉得你就应该天天像一月份的这波这种上涨才对，所以说只要一回撤就不行，为什么？关键是很多人是高位进去的，外加市场越来越火之后成交量上来。成交量背后意味着就是一个家庭，一个家庭的钱在里边，关注度就来了。然后全整个市场的各种的。
	噪音就越来越多。
	所以就是预期跟现实不符，乱了，有有点有点乱，以及市场里边咱们说第二个原因，就是市场里边票基本都是偏。
	高位了。
	也就说现在都不便宜了。然后在高位的所谓的主线的票，又一直在高位震荡。整体市场没有特别强的赚钱效应了，但是指数又被管理的下不来，导致就在于又指数没跌，指数还在涨。我为什么不赚钱？一次还行，两次也行，三次不太行了，到四次、五次，为什么永远都是这样？指数在这儿这么高。
	但是我没赚钱。咱那个是一楼人进来三分钟试看，然后骂一句就走吗？什么白酒在在低位怎么不涨是吗？还是什么？我没看见那条，现在白酒券商是整个市场里面估值最低的。所以你看这礼拜大盘在下跌的时候，茅台四了涨了三天，这是它的战略价值。曼城阵容里面的白酒的战略价值，煤炭也是。两个中后卫有毛病吗？
	我一直说我是4231，我是穆里尼奥，他说我退的票都跌是吗？首先一我从来没退过票，我们曼城阵容拿的是我自己的教育理念跟投资理念。然后那里边哪些不涨了，有色都涨完一波了，特高压涨完一波了，煤炭涨了一波了，然后白酒最近在对冲大盘的下跌，所以我就不太李宁也涨了一波了，我不太明白，所以这种人就不理了，操这种人他这种我觉得太有意思了。
	来，咱们接着聊。所以说现在整个市场的心态是什么？就包括刚才这个人来，他他我不知道他是二楼的还是一楼。如果是二楼的问题更严重，就在于他会报一个很高的预期。进到当前的市场里边，他就认为别人能赚钱我也能赚，可是你3800来的，四千来的，4200来的，你凭什么赚？现在还赚钱？就是当时在这个位置，这个位置就来的人，你刚这儿来这儿来这儿来，你就想赚钱，为什么？
	心态越来越多是太正常。因为咱家现在人越来越多，包括我在大直播，还有大大直播时候，还会有人说这个没。
	干货。
	以前咱们大直播，我还敢聊一聊票什么的，是吧？现在彻底不敢了，三万多人听友的，买去了，然后跌完就喷，止损也不会，放飞也不会，只会喷，没有办法。
	所以说。
	咱们未来。
	我觉得如果后面大盘再来一波的话，又会来一波新人。你们。
	记住往后。
	会越来越难。就像几个月前，我说你们当时来的人，你们三千8来的，你们3800来的已经是股市已经扩圈扩出去了。说这一个月开户一千多万户，已经扩你们已经是后知后觉了。然后4000又往外扩一波，四千二又扩一波，未来4500再扩一波，然后四千8再扩一波。你想想，到最后那可就捏脚的就都来了。
	那哥们儿这个就是抖抖音9亿人的认知水平了。所以你们也要有思想准备，越来越难，一定。
	会越来越难的。
	所以我觉得咱们既然是二楼，二楼我觉得是咱们首先咱们这块是Z家军的根据地，对吧？就是说咱们。
	自己首先。
	要想清楚，你们是花了钱的。你们是正儿八经想学东西的。由无意冒犯，不过最近讲了很多重复的，没太讲新内容。这也是现在的问题，大直播三万多人，小直播。
	两万多人我。
	这还老在重复重点的东西。然后在昨天上午依然有哥们说B一太难了，我这三个票选的有什么问题吗？今天全跌了五六个点后补仓位比较重，这几天一直跌一直卖，今天又跌了五个点，我刚才又加了一笔，有点迷茫。
	大家的认知水平跟大家的所有的方面东西不在一个基础上，怎么去不断的往下讲新的我说我今天就要讲砖形图的高阶用法，那天只讲那个专精图的基本用法。有人还在微博那那边那边说不理解为什么此时此刻要交专精图，这不是弹幕你们问的吗？说这个有没有快的，有没有小钱，如何快多大？我说有啊，就这个，而且讲的是危险，就是每个人的认知水平都不一样。然后我要还要确保说整个大部分人都可以证明白，然后还有很多人旷课的，还有很多人漏课的。比如说刚才那哥们儿说厚朴没问题，天然气这是。
	二楼。
	那哥们儿说后补没问题，天然气那时候是刚刚来的，刚进门的，刚才那个1.8万人手奖白白讲是吧。
	提示了两个礼拜。
	我说当走成这种图的时候，有一个莫名其妙的下影线，一定要小心。我说上一个是赛轮，在上一个是之前跟你们。所以你看我当我在说这句话的时候，刚才之前那发弹幕那哥们儿他又心里想擦你你没干货了，你老天天讲这些重复东西，这一一次直播你又已经讲三遍了。不好意思，哥们儿，因为刚才刚进来一哥们儿说厚朴挺好的，天然气。
	所以我觉得这样。
	人数变多之后。
	特别是每个人的水平不一样，以及老是有一波一波的新人不断的进来。分斑分不了。哥们分班，我已经每礼拜直播已经16个到20个小时了，我分不了了。哥们儿而且说实话这个初级班我也教不动，你让我重新再教遍B1，我教不动。我认为大傻子都会做第一，结果跟那哥们儿说，昨天做了三个第一。
	所以是这样，就像咱家的刚才哥们儿说的，基本盘不说话。就在于基本上学完B1、B2、B3之后，包括择时学完之后包括后台给我发作业非常好。这些朋友也不会在直播发弹幕跟着说，大哥你最近重复的东西比较多，很多人连重复的基本的东西都还没有整明白，我在交心的这不就乱了吗。
	对不对？
	比如说做的好的，周日给我发的图。
	现在是这种水平。做的完全按照纪律做的是这个水平。他就是从之前还连续亏损的，看了吗？人好好学完之后做成这个水平，然后人直播柔不柔，他说师傅辛苦了，确实觉得也差不多了也就说他周日听完之后，他觉得短期见好就收了，对应您说的三月中旬回前高。12月以来就错过一笔交易，都是特别严格执行，重仓守顺，抓到涨停马上开拍。虽然最近虽然仓位不重，但是都是。
	齿轮顶美。
	就非常简单，拉起来卖，当空投把钱揣兜里。然后择时不好的时候，你要想玩的话，仓位降低，用少的台费去玩就行了，很。
	简单。
	说绝大部分人做不到这个水平，别在昨天开仓三个第一重仓轮行吗？能不能做到？盘中下跌的时候，别什么补补仓行为，能不能做到？然后票跌破黄线以后拍掉，能不能做到？
	这两期被弹幕搞的现在没有完全没有，完全没有。因为我从一开始就知道我从一开始就知道，我已经***干这行多少年了，这我能不知道吗？我只是想想想想跟大家把这种心理方方面面的都给解析到位。这样的话比如说你此时此刻你经历现在的到下一轮后面。
	八一抡。
	起来了，到4400 4500了，后面还得下来。到时候你看着，弹幕又是一堆人一波波的。那么你们这一波崩掉的没信心的，在下一轮希望你们就是能现在像现在直播间里没说话的，看着你们笑的。
	所以就像现在喷的，很正常。什么野野群里面你们给我发的那些，我觉得很很正常。坤震我一下就叫GZZ封了个板，关键时刻要表态，搬好小板凳上课，踏踏实实跟着闷声发大财。另外报告师尊，这次牌没丢，因为你没抽好好。金针菇明天会更好，关键时刻表态人心浮躁之时越要保持定力。取这个名字就是希望自己能够在如此残忍市场下还能坚持下去。各位师兄共勉。好，非常好。
	然后SN system来了，封了个板，师尊好课一节没落下过。好了，这是咱们直播间商务豪灯们，然后丽娜no内来了，师师尊春节之后没发过SC想的就是不补完课没脸过来拜年。上周实际上已经补完了，但习惯于做沉默的大多数了。今天直播间这个气压给世尊和预备御林军都打个气，我们必将破阵。好然后宁离泪湿极响，听我师傅讲，龙队只突不举有所悟。底仓不动，动态仓轮指数低买高卖，每次只赚大盘一个点，做了三次赚三个点，这对吗？哥们儿你这个挺敏感，少妇战法我觉得。
	没什么毛病。
	讲正题，哥们儿其实这句这也是今天的正题之一。因为我今天正题是要往下开讲的，是要讲专精图的核心用法。但是明显现在是老人新人，老人次新人整体的一个水平是不太一样，然后心里也不太一样，这就会带来什么问题？就是我再往下接着讲的时候，那些已经非常急躁的人，他会越听越急躁，怎么听都不会怎么怎么什么说什么？怎么回事？那哥们还说。
	B一很难。
	然后这个不讲，基础比较好的，我现在都不讲什么新东西了，所以别着急，咱们先把咱们所有人的这个心态跟认知，咱们尽量的先往中间收一收。比如说你们做的很好的，我知道你做的很好，后来给我发的也很好。我知道你们现在是不说话了，只觉得现在阿杰哥还不开始正题，觉得有点耽误功夫对吧？或者还有人后台给我发说你这有直播，不用那么长时间，特别是还被喷的影响。没有。
	然后新人的话。
	要抱怨的话，我允许抱怨很正常。我也是这个年纪过来的，我也这个阶段过来的。***小时候比你，我们都是发微博喷，小时候不是喷什么喷你喷我，我们都是直接上上上周日的二楼的那个文章，看没看见你像我现在我都不敢念是吧？都不让发出来，我都不敢念。哥们儿不比你能喷吗？我那都是往上的喷，你也就敢喷喷我喷喷他妈我都不往上喷，你敢喷吗？对吧？我也是你这个年纪过来的对，不是我是不闹哥，不是我，所以就是说这个慢慢来，新人别着急。
	哥们你刚来你凭什么赚钱？次新都没赚钱。和和很多老粉还还就就这把又坐回去了。哥们儿你你你赚什么钱？凭什么你赚钱？你一边骂主力，主力还一边给你钱。哥们儿你这个将心比心好吧，将将心比心。所以新来的朋友还是那句话，先别说话，先把第一是什么补了，把择时什么补了，先基本功先补上。
	今天正好。
	咱们就在这个时刻，因为后面必然涨起来，涨起来咱们就开始相亲了，涨起来咱们就就就那个今儿作业今儿午了，所以说这个困难的时候统一思想，对其颗粒度，赚钱的时候，一日看见长安花，聊腿没问题，很正常。你们都会发现，每次都让我每次都习惯没意思。
	对等你下一波。
	四月份载歌载舞的跟你讲。但是越是在这个时候，说实话，哥们儿你越需要我。后面***48%开始重新轮了以后你不需要我。就是在进入-2.3之后，我每周提示只卖不买只卖不买，只卖不买，你是需要我的，但是你我说了，你听不听，那是你的事情。
	比如说像你们说这个，我刚才我也聊新前锋里边那个古巴。别着急，等创新高时候我会愈加亲征的。但是不知道当时他们又转移到哪个阵地了，我不知道。就跟宁宁字24的那会儿，23块多，我想御驾亲征宁字的古巴没人了见不到一个。去了那儿以后我很失落，我账号都注册好了，我我我很失落，所以别着急，都很正常，很正常。所以我说我今天咱们就是在咱们索性把这个，我给你们把这个心理都给你们研究清楚。对，这点颗粒度。
	就是我不。
	认为二楼的朋友里边有特别多什么黑我的，或者说什么黑化的，我觉得不至于，为什么呢？我为什么说更多是一楼的呢？三个原因，第一个是他们自报，他们说一楼的对吧，就绝不上二楼，上二楼就是被割，六块钱都不上，所以他心里价位是六块，他觉得这空谷幽兰。
	只值六块，他们。
	自己说的是吧？所以他这背后是什么思想我就不说了，我觉得我这是很正常。就是董路老师说过，对吧？一块钱就可以过滤掉9.9%的黑粉，更别说咱们72是吧？所以这个能理解，但是他的问题是在于什么呢？他们比如不上二楼，但是他们会四处找二楼的东西来拼起来，然后得到一代码之后就去干，这是最危险的。
	咱们说每一个买点对应的是一个卖点，卖点对应买点止损放飞。择时一套完整的交易系统的逻辑闭环，对吧？持股策略、放飞策略、止损策略和清仓策略都是完美的逻辑闭环。你有一个位置做错了，那就很难受，等于说他们就攻击就往里干，外面看一个一些搬运的视频，搬运的内容就往里干，多危险多危险。
	所以其实只要是二楼的朋友稍微认真点学，然后再多外面四处比较，就知道咱们空谷幽兰的威力。所以还是那句话，我为什么每次大跌时候我都是不慌的。按道理来讲，我的仓位比你们重很多，我的资金规模比你们重很多。我为什么不慌？就像刚才开头说的，不是，因为我们知道咱们有稳定的赚钱的手艺，当择时对咱们有利的时候，转到多头区间的时候，我们是可以复制之前的成功，再转回来，因为有手艺。就比如你会理发，你会理发，说实话你不无论你找一个乌鲁木齐的媳妇儿，还是找一漠河的媳妇儿，还是找一北海的媳妇儿，还是找一个漳州的媳妇儿，全中国各地说你陪媳妇去哪儿生活都可以，你有手艺，你能挣钱养家。
	下波活跃市值进到4%多头区间，八了一个B一再扒了一个B二回来了。无非说你们很多新人或者练习阶段，下次争取第二次做的比第一次更完美一些，第三次做的比第二次还要完美一些，少一点儿遗不断的就进步了。所以比如现在市场这么不好连续往下走，我觉得很好啊。因为市场愿下跟涨，下下跟跌，那市场都贵的时候，你往下一砸，先破坏再建设，那不就来了吗？所以反正就等着，等着下一波肯定有新茶，再找几个强壮宝宝。所以现在更多的其实是一个耐心等待和有一些小期待的时候，不知道下一波强势宝宝在哪，不知道等着呢。你说一个航天发展毕业了，对，就是你天天你就等着下边，等着下一波试几次出来了。
	所以这是第一个，就是说他们自己报的是一楼。我对一楼二楼兄弟，我其实没有什么，我本身来讲没有什么什么太多的区分，都是咱家兄弟。但是确实咱们扩圈之后，这还没宣传，扩圈之后来了很多古巴过来的，或者小朵过来的，反正就是社会上过来的一些朋友，或者之前本来就凑热闹这波来的。所以我是希望这些朋友你们千万别四处东拼西凑，然后一知半解，然后攻击就不干，不至于，不至于。第二个原因，就是说咱们二楼的兄弟，只要稍微认真学一学，其实就能够避免掉很多最基础的那些错误的认知，对吧？
	比如择时在现阶段只买不买。要干的话，台费试一试就完了。穿行图第一天干，第二天不涨就走，拍出来第一没涨止损出来。就是很多最最基本的东西，你就不可能犯错，你就不可能被攻击，就被什么东西八套起来什么的，不可能，这是一个最基本的一个记，就是一加一等于2，只卖不买四个字能不能听懂？能，然后回时能够看懂？能，所以就不会犯一些最基本最基础的错误，也就是说能看得清当前阶段盘面的形式。
