	大概率不会是下一波的主题。
	所以今天上二楼，我就是想提醒大家什么？就是说咱们没法去预知说能跌多久，甚至说具体跌到哪儿，这不可能有人提前知道的。龙队可能知道，咱们说谁要真知道，那不就他妈这不完全锁房子干了吗？但是咱们可以去预估它，咱们去预估他说龙队在不在，龙队还管不管，对吧？咱那咱那天家中无论你还要不要了，你要不要，那就大家都不要就算了，大家都不要都别玩了。但是目前走势来看，龙队是要龙队没说不要，就龙队甚至呵护的，你连上一波的这位置，就去年年底这波都没给你洗完在这位置龙盾没舍得洗。所以说我们至少再给它一个礼拜的时间，再感受一下他的态度和整个市场里面筹码的交换的幅度和力度，所以能跌多久不知道跌到哪儿。
	大概其先看这个位置。
	个人体感的话说，如果前期你的很多已经攻击什么栓那了，应该还好。但如果你仓里边有强势，要记住是不是？我现在说的跟之前不一样了，刚开始变的时候，我说的是一直到这个位置趋弱留强，趋弱留强。那么到这个位置，因为你们都卖的差不多了，我的锦囊我也没有说太多，反正基本就别动就完了。但是在这个位，如果你高位之前买了些强势的票，不是一定不是百分之百。那么说如果最后加速赶底的话，那么强势票要不跌才行。你说，又问他说老美刚说明年要推平伊朗怎么办？我白讲一晚白讲，就是你不用关心这些东西，怎么就说不明白？
	大A的这一波加速是突然间长得好好的，从这儿开始的吗？是因为大A自己内部获利盘浮筹太多了，在2月2号早就开始了筹码的交换，筹码的交换在这位置后面所有这些东西都一切利用，这他妈都是噪音，你让他推，他正开始退了。陷入长期战的时候，你会觉得怎么开始涨了？不是因为他他妈变成了地面站，咱们才大一开始涨，是因为他妈估计那会儿时间正好差不多就开始涨了，筹码交换差不多了，明白这意思吗？怎么老是不懂呢？这怎么就教不会呢？是我的能力太有限了吗？就是任何时候一定不是消息决定盘面。
	就比如说说为什么这一回就为什么这一回在这个位置上新闻联播说创新药，开始推创新药对吧？开始推创新药说，今年一季度创新药的这个BBD的规模是去年的多少，然后创建上个礼拜还接着涨，为什么？是因为创新药没涨过，创新药在这儿，但是你看在这个位置的时候，是不是新闻联播也说了商业航天。但是为什么一下攻击见顶了呢？是因为商业航天已经。
	从这儿吵到这儿了。
	这句话能不能听到？就是位置不一样，就是你不是因为新闻联播一轩什么东西就熄火，而是要看位置。位置就是新闻联播在这儿宣的商业航天，那商业航天已经总值他妈。
	都快翻倍了。
	新闻联播在这个位置，轩的创新药创新他妈在这儿。所以说就永远不要被消息去驱动，就是永远要看你的这个板块，你的这个板块龙头公司或者整个这个主题炒作轮动的节奏，看这个。
	节奏。
	所以说对于大家下礼拜什么打不打地面战那么无所谓。
	不用管打不打，该走完也得走完。如果他这硬度8. 
	明天来个7%，后天8%上去，那他妈又到这个位置就结束了，就在这个位置就又结束了完了熄火，*****六月份还就六月份跌了。如果说这边就明天开始上去了，**6 6月份跌没整明白，整个里边。然后比如说什么电网要补电，这个你不要去猜，你不知道的，你不知道没有人知道。有些人比如有些板块小的。
	就硬来。
	但是规律一定是涨多了跌，然后一直跌跌他妈筹码你不叫出来就还得跌，一直到他们筹码交出来为止。对，早起晚起早晚得起早下跌，晚下跌，早晚下跌。然后跌多了以后指数还在3800。**基本面没变的情况下，只是把前期浮筹洗掉了。以后你们跌了一年之后，发现一回头，**指数还在3800，哥们儿追瓜上升上，主力也得往上赶，一赶往上赶价值回归。
	所以说咱们今天二楼。
	我主要就是想提醒一下各位说咱们细化一下活跃市值的用法。就是你要看这些东西，比如4月7号. 
	比如。
	4月7号，我为什么4月7号敢买，上午敢买，而且咱们晚上加餐。就是到了前期位置，相当于你就去想，就当我说你还管不管。
	你还来不来。
	就是你你还要不要。4月7号就在这位置，就是相当于决定了说你这一波你要不要。因为洗到4月7号的时候，他只是把第二波的浮筹给洗掉。说这要再破位了，接着下来等于说冻到这儿了。那得说他你不要了，对吧？你不要那不要对吧，那大家就都都他妈别干了，就散了散散散了回家了，对吧？
	然后你看这回当时是在哪儿来的，咱们家中是在哪位置来的？这个位置等于说是你整个上一波你还没没没弄完，所以说只能说在这个位置，你借着这个消息往下顺势砸。目前比如说我还给你空间，我给你点，我再给你一个礼拜行不行？我再给你一礼拜不行的话，我给你俩礼拜行不行？我再给你俩礼拜对吧？让你到这位置，我这儿等你行不行？但是如果这位置他妈三个礼拜**破掉了，直接开始动这了，就是动这一波段的筹码了，那可能就要做更长期的。
	战斗准备了，等于说有点。
	动上一波八月份这个大大科技的根基。
	所以说咱们不要猜。
	什么动还是不动，不要猜不用猜，大A有大A的本质。所以我为什么我说这回跟以前不太一样，说到最后一不一样不知道，真不知道。但是至少目前来讲，就从这4月7号我就开始服了，然后到这一步这儿上去我也服了，慢慢下来我服。现在这个就所有的专业圈，只要是专业的，什么公募、私募，什么信托的这些什么的，怎么去券商的资管都都服了。那服了之后大家就等着。
	现在是谁？现在散户不服能明白吗？现在游资也服了，是不是游资也服了，散户不服，散户不服。那就没办法了，你不服不行，你得服。你看我就服我我他要躺好了，我就服。你们是不是很多人不服，走啊走不走不服，对吧？那不服不好意思。对，因为没关系，他总会让你服的，总管理服的。就是。
	什么时候。
	散户就服了呢？老散户知道吧？就是已经没人骂了就服了，对吧？你们清完仓以后还骂吗？清完仓以后他妈减完仓了清完仓还古巴骂吗？还跟着骂吗？不卖了，服了吗？都卖了吗？没了不关心了，随便了，对吧？服了。
	所以说对于散户的，散户小斗那边只要还在骂，接着骂。我他妈又还在骂，**，就说明还还不服不服，就一直打到你服为止。你看这波从这开始打了一波、两波、三波、四波，你看这个波动幅度越来越小，越来越小，没人骂，没人骂了以后走你一下，登进来是吧？你看到这儿的时候，你看这个波动幅度也比这个波动幅度要小，对不对？没人卖了，给你一波。因为到现在你他妈还骂，尤其是这两个礼拜咱家的黑子？最多的这孩子骂你，越骂越越越弄你，别不服，就是你就就打到你服为止。
	咱们这两个礼拜的整个的炮火，是不是这达到你你你你你不服不服，再来给你加速，从来都是这样的，在这儿其实都还好，对吧？在这儿还好，为什么？因为散户还能看见希望，就是从这儿开始，**就来了。不服吗？所以我说了，不是我筛选，是市场筛选，从来都是这样的。
	所以说在这位置，弄到这儿弄到这儿，弄到这儿以后提前跌的那那一些，比如在这个位置就得跌了，或者在这个位置跌完以后，上一波没有他的错过的，会不会从这个位置开始？香香饽饽，香香香香饽饽。所以说。你把大A历史上来看，整个纵观历史上来看，说这一段跟哪有点像，有点像19年到21年的这一个波段。但是这个波段当时为什么能有这个波段呢？是因为在1415年在这个位置的时候，国家队来了。也就是从国家队来了以后，你去看，从国家队来了以后。这个。
	斜率越来。
	的越稳，你看这儿人这儿是怎么起的，都是直上直下，直上直直直下，直上直下看了吧？这辈子直上直下，所以说目前来讲，924的底在这儿，对吧？4月7号的底在这儿，这是去年四季度的底在这儿。那么今年一季度底在哪儿呢？不知道不知道，但是至少目前这个位置起来，不应该就不要在这个位置起。你为了后面能够这个波段长，你看这个波段是到这儿起到了这儿把前高调了这个位置从这儿起到这儿把这掉。如果这位置调到这儿了，调整起来这个波段不就能能做三个月了吗？可惜你起的太快了，上下航天突然间一下就来了AIGG，这他妈一下一波流了，对吧？你骑太快了，那下来。
	现在如果多走一走，打打的这个位置也就是五月份。你看我觉得正好他磨呀磨，对吧？我在这个地方挖呀挖呀挖，弄到5月15号，也就是一个月后，一个多月后，一驻地这儿一起把能够从他们的五月底做到8月份是吧？然后八月份往下再洗一波到10月份，然后再从十月份做到12月份，今年还能做两波。
	但是如果他下去了，下到这儿了，不用担心下到这儿了，不破4月7的这个位置，那就是大喜了。不破4月7的这个位置，从4月7的位置起，那就整个下半年能他妈做好几个月。从这位置8直接从他妈十万活跃值重新做回到175000，那也可以。
	也行。
	但我觉得就没有这个必要了，是吧？你你要不你要跌3400的话，你为什么3800要守？没必要，你直接3400不就完了吗？还有什么扶老太太下楼梯是吗？我这可能也为了好看是吧，这就不知道了，反正目前来看的话，大家做一个思想准备，做个思想准备。就是说从A股内在的规律来讲，这次稍微有点不一样，有人管理管的还很好，然后今天的跌是为了明天的涨，然后同时说怎么提前发现板块，你们都知道了，第一对吧？比如咱们是在这个位置发现的商业航天，只是那会儿不懂，看不懂，不知道。但是有些人在家，有些人坐坐，看到抗统之后没坐上航天的，在这位置，B2进去了，或者是单纯驾驶室进去了也可以，无所谓，现在你们也会专精读了，那后面就是等等下一波总会来吧。
	就没有说在历史上你看所有图形，没有说在历史上他妈一直就绿绿到底？说你这波长下波鸿的也长，对吧？你这波绿的长，下边儿红的也长，看到了吗？你这波绿的长，下波鸿的也长。你这波绿绿的长，下边红的也长绿的长虹的也长绿的，长虹的也长，循环的。所以很多人就像那种磨半天说你在这儿就开骂，再等一等对吧？你说你这儿开始骂，你这儿也骂，你等一等，你等等不就把这儿等来了吗？大家到市场里边是为了赚钱的，又不是为了吵架来的，对不对？
	但是他们不走，朱莉也不会拉，所以这是一个悖论，没办法。所以说外面他们不知道这些东西的，他们骂可以。但是我希望今天现在有一点多万人，1.3万人，我希望咱们今天1.3万人在在二楼的，你们真的已经知其然也知其所以然了，一定要把自己的心态调整好。
	就是你等于说你拿着指南针在航行。这个软件还真叫指南针是吧？**这名字起得好啊，就是说你你你都拿你就你要你要做的是准备，而不是开骂，一直骂。你要做的是为下一波这儿做准备，也是你每天在选B一的时候，或者你每天在判断专精图选的时候，你就要有意识的看，哪些是有点像娜娜涂了，哪些有点像航天发展了，哪些有点像什么的。当时的在这个位置创新高的赛赛的那种横盘启动的那种图了，那你们就要要在这儿去去去思考了。
	然后说比如在这一波，你之前这个位置破黄线没有走的那你要怎么办？说了你等下一波红的来了以后，第一位筹码换第一位筹码，明白吗？像比如说过去两个礼拜都在这儿讲完了，说在这位置，你是第一位筹码换第一位筹码。过去两个礼拜有些人他妈往高了换，说我就是换到B1，我是不是说了两句话？第一句是等下次活跃市值分红的多头区间，你低位筹码换他妈低位筹码，我哪儿他妈让你站在空头区间，低位转码去换低位转，听不懂，听不懂，我我我很气愤，有割肉买来了你看。
	我说的两句话就是说。
	你等下回活跃值分红的多头区间来的时候，下回4%之后，你第一位筹码换第一位筹码。等于说你现在把他们还在空头区间，你把你低位的筹码换到了说高位的比例的那位置，那不还是高位，那么一补跌下来，你不会还是跌了。
	所以说这个游戏在这边一直跟大家讲空头区间，空头区间只卖不买，然后别跟这折腾了，你在这儿都没赚到钱，你说你要在这儿赚钱凭什么？概率上来讲也是凭什么所以说OK今天二楼就给大家补充一个重要的说如何看懂活跃设置内在的逻辑这一点就是说你们要跟外面人一样，说在这个位置你们心里要有个数啊不要骂。
	等你就能。
	在这位置等来机会，时刻保持内心的平静，特别是老粉次新闻，你们已经做了好几轮了。凡是有这种东西来的时候，你是不是每一次第一都会比上一次更。那么下一次的鄙夷凭什么你就不熟练了呢？不会的那比如你这一波没走的人，那你是不是就记住下回只要再来这种玩意儿的话，你从这儿至少你就踏实了，互相提醒就踏实了。但在这儿你是第一次没见过，那这第二次给你补了一下，事不过三，第三次就别再那什么了，好不好？行，那咱们今天二楼就先到这儿，就先到这儿。你们明天上班了，赶紧睡，两点了，咱们就下了。什么急诊哪儿了？
	跟随石之利很少一节课打两个sc但是这次太精彩了不打心里过意不去，这宏观讲的太牛逼了。等于说你发的第一个是吧，现在发的第二个是吧？慢慢来，就是有好多东西我说了，我尽量在整个这一次的牛熊的这个周期里边，把我知道的所有东西都分享给各位。但是很多东西都得遇到之后才能够去针对性的去做，否则之前说没有用，所以咱们慢慢来，与时俱进，好吧？
	金运上升尊师，这尊尊师把这趟高铁从哪里发车，到哪里去，什么时候休息抽烟讲的清楚明白。是这意思，我觉得你这个理解就到位了，说明你听懂了对吧？这波高铁发车了，发车之后到2.3之后，那不就你可以下车抽烟，你可以抽烟对吧？你不要在车上等了，这波起来之后，到这儿以后三点几对，你这又可以下车抽烟了。你现在等着，下次马上发车的时候，4%我告你上车，对吧？人家会通知你的，小姐姐会来通知你的。修己以安，莫问前程，封了个板，说Z是您好。
	学生28，被女人在处对象以借钱名义骗了30个，后来才发现对方大我五岁，还有老公孩子，估计没可能还钱了，家里劝我算了，我不理解为什么，恳求师傅指点该如何处理这种事情，该认亏吗？我觉得这30万对你很重要，就相当于如果这30万对你很重要，报警没用这种事儿对方没有什么证据可给你的。这这种这种你也是你情我愿的对吧，在处在在在处对象以借钱名义骗了30个，说你这30个如果没有弄弄一下就给了30个哥们儿，你这智商堪忧。如果说你也弄了一下，然后给30个哥们儿，你这个就付费，相当于也是属于你情我愿，怎么诈骗，这很难界定。以借钱名义骗了30个，这个东西你得有都有证据，你怎么来界定？有人说如果你们俩结婚了，那可以他骗婚，相当于重婚罪。所以这东西我不懂，你可以报警试试看看警察接不接我这我不太懂这东西，但是说如果说你也弄了，你这相当于不就是你付费了但是我觉得可能。
	在你现在。
	如果你们家劝你算了，可能你们家应该也不差这个钱，所以我觉得就是交学费了。你你你找回来说，你要找律师30万，然后律师先立案，然后弄估计得10万块钱对吧？然后中间再再那个那个索赔回来以后，你能回来多少钱，持续多久，人力物力财力，然后人家30万都还给人家，律师再拿走10万20万，最后你回多少？你回十万。
	没没必要，所以我觉得你先找状师，咱家不是有状状师吗？你找咱家状师先咨询一下。因为这我不懂，我不太懂。但是说如果要是家里也不差这个的话就算了。这东西因为你家里说算了，说明你家里也明白这个事情。所以这个有没有咱家那个壮壮师？咱家的天津卫那壮士？来来给他接个单，给他咨询一下，先免费咨询一下。
	黄美丽说行，什么行？莫名其妙来个行，麻油拌八八哥，我这算重点符号吗？麻油拌88，你这不太算，我可能下次就记不住了。你说我是粑粑，**，那我就记住了麻油。对，麻油没有概念。行，咱们就先这样，先这样找方唐镜是吗？方唐镜可是打输了。
	壮士，这十万赚定了。哼不是这个观念。在法律上，不要说就是在在社会层面，就这种被崩，你这属于被崩，哥们儿你知道吗？你属于被崩，人要是故意过来帮你的。
	如果要是诈骗集团的话，比如像闽北这种，如果要诈骗的话，你不会发现她有老公跟孩子的。所以你这就你这不属于被骗，你这属于被崩，这是两个概念。比如缅北的那些，那个叫真的是诈骗，你这都知道人家住哪儿了，恨不得你这个就很难说了，很难界定，就是被崩了。比如他说借有没有借条。如果他要为了要崩你我觉得可能不太可能给可能给你写借条，你可能就是弄完之后你也他妈上头了，是吧？所以我不懂具体的，你找状师问一下，咱家也有状师，咨咨咨询。
	行，赶紧睡吧，赶紧睡吧。你看大A这个人的指数管理真是艺术，**对吧？924起来在启动点的这个位置，相当于指数最高位启动，但是实际上活跃市值，你们对看不到图，你看相当于在最高位启动是吧？但是实际上人都已经回调了。回调了这么多了，从这位置。回调了40%啊，看见没有？回调了40%啊，真牛逼。
	行了，赶紧睡吧，睡觉。拜拜晚安晚安，江河万古来了是吗？闲鱼上有某类代闹服务操，甚至可以上门。那什么，这个合法好不好？一定要合法，这个你***再再踏实合法。黄美驴给孩子起名，孩子生了再起名行。哥们儿，这是你这**有耐心，你这一等就是俩小时，接上回书还是在一楼，是吧？现在二楼，你还在一楼的事明白。
	黄被驴不用这种事儿，不用再发一SC了，行吗？给我发个私信就行了。然后pitching. 
	说具体情况具体分析。
	如果有虚构各种假的理由就构成犯罪。如果只是借钱或者捞女就很难。对，是人们很有经验了。捞女崩职业嘣嘣嘣人的，**，这很难弄过来的，修己以安，莫问前程，来了。
	说律师咨询后说费用1.5，能回来的部分有13个有借条的。他的信息是我觉得不对劲才私下查的，家里感觉是怕麻烦。明白，那如果你现在有律师了，那你要愿意，你可以试一试。就是这个背后你看这又有带到服务，你觉得也很难弄，包括你，哥们儿是，这就是你的。我不知道你多少岁，但是我能站在你家长的角度帮你分析一下。如果我是你家长说这30万孩子咱家出出得起，就别添。是为什么？人有老公，人有孩子，你给人老婆睡了，人咾肱反手就起起起诉你。
	人反手就告你人。
	不告你人人找到你们家闹去给你搞臭到你单位闹，你睡我媳妇儿说不清楚。28岁是吧？28岁对吧？28岁就是你现在你只是这口气咽不下去，但你要38岁，你你就你就你就知道就那什么了，就是算了。而且你看就是在这种情况说关键就是你你弄没弄，你要弄了的话，那说实话这事要闹起来的话，你这个到最后你30钱给人家就是***。安抚费了，你就正儿八经。
	的钱给别人。
	所以这个现在不是已经不是什么弄没弄过被不被骗的问题了。是你这个事情，你这就最后就是很很折腾。所以比如说你要问我的话，我是跟你的家长是一个意见。但是说如果你年轻气盛，28岁你就咽不下这口气，那么你就按照你的方式去做，无论最后是什么结果，这是你人生的路上的一种学习。
	只能这么说，就是最后结果怎么样没人能知道。只是说站在我43，你父母你28岁，你你父亲你父母可能五十多，对吧？比我大又多十年。就可能站在我们角度考量的，还是一个更更全面的一个角度。供您参考。
	弹幕说该弄就弄，期待后续什么，你们这帮看热闹不嫌事儿大***这他老师。66，师尊晚上好想前往南方从事外贸行业，求指点，谢谢师尊，你这个问题太大了，前往为南方从事外贸行业。一带一路上那就这一把很明显，东南亚，然后跟阿拉伯这后面就起来了。可以杭州深圳。
	深圳挺好啊。
	不气盛叫年轻人，你看你们就一劲搓搓火是吧，一劲儿一劲儿的窜窜窜动人家，剁一刀拿下是吧，双管齐下哼。周三还上课吗？周三上。
	周三上。
	来睡觉了，拜拜拜拜拜拜，拜拜。晚安，这么多人给你支招是吗？
	来一什么阿哥PP. 
	说诉讼执行，然后拘留至少时间至少要两年经济以及时间成本。对，是这样，反复取证对吧？然后再出庭，然后大概率就私了，私了弄半天事儿弄半天，**关键人钱已经花了，花了之后人家没有钱还，你到时候强制执行，家里也什么东西都没有，就这几个锅碗瓢盆拿走，你这很难受，所以下回就长经验教训了，说实话不就就不能这么说，28岁崩30万肯定很难受。但是如果你们家趁300万、500万、1000万的话，我觉得就还是听父母的，拜拜。
	又发一个，你不让我下，哥们，你不让我下，我看看。目前了解的对方是已有多年类似这种案例。我自己是想问您一下您作为长辈的意见。我觉得我还年轻，看问题视角不对，不够冷静。
	报警不立案。
	是吧？如果说您报警了不立案，那就就是这样没职业的了，人方面肯定没有给你30万。都清清楚楚的来龙去脉的证据，证据链条一定不完整。证据链条不完整，中间只要断的话，后面你就很难肌肉被崩了。你这就是被崩了，标准被崩了。职业仙人跳。对，但是崩有时候可能没有仙人跳，那么职业要是职业仙人跳的话，就标准这还不是杀猪盘，如果是杀猪盘的话，你查不到它北杀猪盘基本都是缅北或者是阿联酋，要么就是迪拜，要么是缅北。你这就是职业仙人跳，介于仙人跳跟崩之间，这还不是瑜伽裤，就是说专业的瑜伽裤，人家是最终还是要有个归宿的，明白吧？他这属于出来就是职业是挣钱的，所以就应该是专业宣传跳。
	如果说您说报警了，警察不立案，那就对了。那说明是这个警察这种东西借鉴多了。就是你这就算到最后就是不构成诈骗，也不构构构构成什么什么刑刑事刑事犯罪。因为你证据。
	链条不完整。
