	北新也是一波两波三波不要。不要。
	同暴跌三个点是吧？那按照什么明天这应该是跳空杀跌的，所以在论的就不要不要死扛，就是不要扛。说这个没S1，那他你你可是人家告诉你跌破黄线了吗？是吧？你就别扛，你就人家，你就根据人家，人家让你干嘛，人家姿势就让你走，你就走你就别非要跟人这儿硬上，对吧？截图，截图空仓不慌，那很好啊。空仓的风险在于明天，说日下来。
	然后下来之后。
	然后砸出一大坑出来，然后下午猛龙队入场，日日给埋起来，你们到时候又慌，但是无所谓，不要争一池一城。晚上收盘之后再选，明白意思吗？再选，来截图。
	有人说等4%吗？哥们儿，你肯定等4%啊，那你等什么呀？你们记住，现在还剩多少人？1.5万，又睡了2000人很正常。因为周中是这样，咱们今天正儿八经从八点钟开始聊的正事儿，SC都没。
	来得及给大家念。
	既然已经到这点了，我真的跟你们再给你们反复的敲打，再强化。做股票最核心玩的是心态。所有的走势就是为了要给你打崩，要么让你交钱，要么让你交筹码。你有筹码的时候他要你筹码，你有钱的时候他要你钱。你想象一下你们现在空仓的，如果今天美股是高开高走你手里有钱，你是不是明天就想入场？你**，*怕时时刻刻怕大空，你空仓柔怕大空，你满仓有筹码的时候，你又怕下跌，为什么一下跌你就把筹码交了。
	所以说这个市场它永远就是这样，你有什么他要什么，他就是不断的。就是不断的就弄你。所以还是那话，就是说要勇敢。但是勇敢不是说乱来，不是说乱来，是你要有依据的进行交易。拿空仓不怕踏空，来了直接追是吗？
	截完图了，不降息是吗？肯定不降息。咱们不之前说过了吗？穿的把石油一把干到120，酱毛7，没事儿，已经press in了，我觉得市场应该已经Price in了，就肯定大家大宗这样肯定是知道不降息。你不要关注这些乱七八糟的了，这都都噪音不重要，都在盘面上了，都在盘面上，你们又不做期货，对吧？你们都在盘面上了，赶紧睡吧。
	熄火是吗？不早就熄火了吗？嘿哥们儿这不早就熄火了吗？跟大家说，这个是一个锤子。刚才有人问这是一个锤子，但是我跟大家说这个锤子的位置不一样，一个代步车垂在这儿跟锤在这个位置是不一样的。
	如果他是垂在这个位置的就不好，按道理来讲，其实锤在这个位置还行。第一位的锤子还是多头获胜吗？明白吧？但是这个位置的锤子是属于多头非常艰难的获胜，空投只是稍微的释放了一下风采，所以位置不一样，它的这个东西是不一样的。所以你们去买一本什么日本蜡烛图形，就基本的还是要看一下。但是我虽然我觉得也没什么意义，也没什么意义。你看像这个，你看这也是锤子是吧，它第一位的，第一位的多少有点儿支撑力度看了吧，就这种低位的。
	反正这东西，我是觉得你们现在看不看大盘指数其实没什么意义，就盯住手里边下大盘就要看活跃市值，择时就行了。对，上店直播第一节讲过，没错，看一下应该那个回放区里边有两点了，赶紧睡吧，咱们周日就干到很晚，你们很多人的家长，不不那很多人的家属都有意见了。有那个有一个姑娘给我发消息说，那哥求你能不能不要直播那么晚，说我老公是真不睡，对吧？你人家三十如狼40如虎的，你这大大大半夜的，你说你在在我这儿待着，你这人确实难免心生怨恨，对吧？所以赶赶紧赶紧赶紧去睡吧，在微博那边给我投诉的，给我发个私信，所以赶紧睡吧，你一天学不完的，赶紧赶紧睡，赶紧睡觉。你媳妇都上火了是吧？你说说是不是？赶紧睡吧，睡觉拜拜。
	对，微博那边的什么什么招小小昭妹妹，是妹妹还是弟弟，你们知道吗？我让他后台给我发资料，给他周日相亲，也没见过发资料。伟志认为在前台留言的这这这个哥们儿，他怎么怎么又又变成妹妹了呢？不知道，不知道是弟弟是吗？小昭弟弟还是小昭妹妹，不知道不知道，所以我也没看懂为什么，赶紧睡觉，拜拜晚安。怎么数妆还是不会，第一就是专精图还看不明白的。
	就B一就行了。
	还是老老实实做B1。你看哥们儿，你你比如你问说你今晚上睡不着觉，你说明天铜跟铝会跟同一起跳水吗？比如说。
	你看。
	这玩意儿，你是不是你早就应该走了。
	说你要早走了。
	你这个你你你现在是不是就今天也跌破黄线了，它有色都是一挂的。咱们周日讲了，有刺激，但是周日周周日的时候没有走坏，周一跌破黄线走坏了。你下面止损点就在这个前低的位置这儿，6.27块，对吧，6.27块就在这儿。然后周日我在说有色，有人问吕，我说铝跟童守一波。然后当时你们说是屡屡什么来着？屡屡涨了氧化铝，涨了氧化铝的龙头是中国铝业，对吧？但是我还就人主力，人主力不干活，你你你人就告诉你了这样了，你就是不是你觉得好或者小斗那边好，就好，明白这意思吗？
	所以既然你们。
	今天已经学了4444那个DSZ战法了，DSZ战法你们学完之后，实际上咱们你看咱们数一下这个。这是。
	1234是吧。
	撕完之后下一根又创新高。123，下一个一绿了，直接熄火。所以你看你就应该在这根第八根的时候减仓或者睡觉，对吧？12341234正好。
	比如你们在说那个铜的基本面，是这样，我跟你讲，我是不是早说，我说同什么AI不AI什么用不用铜都他妈扯淡。他每八年来一波，每八年来来一波，就来一波涨的，总会有那个时代的故事。下面有旅大家说阿联酋那边还是哪儿？中东那边把那个铝给停了，什么什么那盘面不影响，不影响，对吧？这都是故事，要涨的时候你也不知道为什么涨，明白吗？就是你就跟着图做就行了，图上这都都显示了，你跟着图走就完了。12341变率走，对吧？很简单。
	你们还是的话，就不要太关注什么降息什么，这玩意儿没有意义，你能靠这赚钱吗？就比如。
	上证指数在。
	去年12月下旬开始上涨的，一直到1月13号，一直到这一波的时候，是不是市场全都是利好？这那的**全来了什么c dance什么这全有，是不是就说这天是1月13号，这天是3月3号，就差这一个半月。原来的所有的逻辑就都变了吗？没有。但是为什么市场。
	情绪变了？
	因为媒体就在干这件事。市场涨了，媒体要么主动的被人策划的，要么被动跟随流量的，开始找各种上涨的理由。下跌的时候，为了把筹码骗出来，有人会主动的制造利空。然后那些为了流量跟风的，就开始找各种下跌的理由，没他妈那么多理由。上涨了就是有了主力，有大哥在干活，在往里钱再往里进，活跃市值是红的。下跌的时候就是因为市场里边的资金要筹码，要变成资金要离场，大哥不干，大哥走了，就是绿的回执就是绿的，市场就跌，就这么两回的事情。
	就比如你在位置，你说如果如果如果中东那边打成持久战了，说这全世界跟着他跌，说永远**，只要你不打仗就不涨，吹牛逼别闹了，**俄乌战争都多少年了，这不还是今儿作为今儿午吗？不影响，就是看主力做不做。那大哥什么时候来4%就跟那等着，大哥不来小资金玩玩正经图，或者或就不做，睡觉休息，自己该干嘛干嘛就都可以，无所谓的。所以说真的，咱们还剩一点几万人，还有1万人吗？1.4万，1.4万，记住至少你们这1.4万，别老到古巴里面跟臭棋篓子交流去，越交流越臭。然后也不要老四处的这盯着哪都降息了，哪儿都打仗了，什么你等你八卦行。比如你看刚才说白酒券商躺尸了。
	哥们儿。
	我曼城这种白酒券商非常重要。就是说你看我不知道，我不知道你们有些人，因为现在这点我不知道你们有些人多少人在。当时我给你们看那个，我给你们拿手机看那个。
	当时是布伦特原油今年涨了30%多。最最下面是恒生指数是吧？我当时说了一句话，我说如果是我的话，大家都在追上面不论的原油在在卖底下说我如果是我的话，肯定是反过来，你要卖上面买下面，我不知道大家记不记得，你说比如说你拿短期的交易来讲。你知道你拿短期要件，就当时就在这个位置，然后包括队长也是反弹，对吧？就是说你他市场永远是你当所有人都知道已经变成一个新闻的时候，那大家就都会都会去追布伦特，可是那会儿已经100以上了，当日来了个128，场场赢下来，打下来，后来回到八十多，然后又回到90，跟着开始震荡，赚不到钱了。比如恒科在这底下这位置这位置奔驰在这底下攻击，如果你要跟这八全他妈拍掉之后很难受，包括你看台子也是连续在这位置不跌了，台子台子能最高这波反弹6%，最高的都是波幅8.3，台子8.3。所以说当这种情况出现的时候，记住机构永远是反着来。所有人是不是所有参市场参与者都知道布伦特今年最牛逼，恒指最低了。
	正好我上面。
	的出货，下面儿的震仓吸筹，就是他们布局的时候。就这张图怎么不在年初什么什么布伦特原油涨之前出来，吧？老美子为什么在100美金的位置释放4亿桶原油呢？为什么？哥们你想想为什么，为什么？他这四系统什么时候买的？为什么？对吧？
	所以你就知道这个万事万物什么经济危机，那都是人为的。没这世界上根本就没有经济危机。古代你听说过经济危机吗？听说过吗？是不是1929年之后才他妈开始什么经济危机，它就是资本主义发展之后，资本主义出来之后出现的经济危机，为什么？一切都是资本的需要资本的需求。
	所以咱们现在了解到这些本质之后，实际上你去结合一下老美的这种走势。其实你会发现咱们国家5000年的历史，各个朝代都经历了一个是250到350年的这样的一个王朝的周期，你去卡他一下节奏对吧？然后还有一个什么？就是到一个王朝后期的时候，法末世群魔乱舞，乱七八糟的就谁都能出来，对吧？要么是万历多少年不上朝，要么是他妈最后来一什么乱七八糟的，就是你你不知道的就乱。
	然后最最重要的一点，土地兼并一定要记住。土地兼并放在咱们国家以前农耕社会，这个叫土地兼并。放在现在是什么资本的高度的垄断。比如老美这么一打，他的军工复合里，他的石油那帮财团，能源财团会更牛逼。
	他们完全把。
	美国这边的不甚至全世界的资源越来越集中，越来越垄断。就跟咱们古代土地大的土地兼并，1%的人拿着99%的土地。
	所以你看他不像就干这个全世界抢，放在咱们古代什么抢土地、抢人口，对吧？他不要马上挥师南下，干完古巴干墨西哥吗？这又抢土地，加拿大，抢加拿大的土地，抢墨西哥的人口，所以这相当于就是咱放在古代土地兼并。到最后你就看着，就是到最后差。但是咱还是说1840年之后，还有60年的那什么你这但是这个趋势是非常明显了。所以我想我想说就是扯的有点远，因为很多人也都睡了。就是我我我想说的就是说这个趋势非常明显，就相当于就是现在大家特别难受。
	就像你们想想李宁。
	当时在底下12、13的时候，12、13、十四难不难受？终将过去。你只要别乱追，咣咣咣的各种乱追，都是过程。而且你现在应该乐观，我跟你讲你要乐观，市场在上面的时候你没得可买，市场跌下来之后不用你着急，边上机构就都进去了。
	比如真不想玩，太难了就别玩了。就相当于这就是你看同样的教材，同样的老师，同样的学校，但是一个班里就有考100的跟考个位数的，咱们小时候都经历过这个，对吧？都经过一波一波的筛选。比如你上了top 1 top 2的学，北大清华班里依然有他们恨不得天才班的学生。还有人真的说，***在我们学校状元怎么到这数学课听不懂。一定是是是是是这样的那一波波的淘汰。但是淘汰之后，社会是什么？是你你没有上过学，你依然可以通过工作赚到一份口粮。然后你特别聪明的那也有你需要去承担的责任跟职责。但是大家的压力是不一样，则就是欲戴。
	王冠必承其重。
	但是说整个全社会你去捋完之后发现说哪个时间的投入产出比以及对能力的要求，方方面面现在对大众来讲最有可能翻身的了，其实就是交易。但是我不是鼓励大家炒股。因为你们已经二楼了，你们是愿意做股票才上到2楼。
	我我我这不是鼓励你们炒股，但其实比如说你说太难了。那就刚才我一开始开头念的，空头区间选了三个。第一重仓轮，我有提示风险的后补不卖反而加仓对吧？还在盘中下跌的时候加仓。咱说这三点你要老按这个这么做的话，你的肯定觉得难。但咱们说你按照这个做，你到底是能力问题还是心理问题？就是我在说中文的时候没有人不知道。
	就比如说你看这个玩意儿，你看拿随便说台子，这张图专业精图告诉你了，数四块砖会吗？红色你会过马路，你就会数砖，1234。如果你这天选完，这天买123对吧？12三四块砖出来了，你今天收盘就卖一半或者全卖，你把这钱揣兜里了难吗？但是明天公鸡来一根5%，你就开始骂了，心态就失衡了。**大哥你这招不灵，赚没赚到钱你。
	就开始质疑这个质疑那个。
	开始想，这个是不是有方法说可以避免这种玩意儿？那有啊，那红的位置你可以不卖，不卖明天来，那明天要是下跌，所以就是说你不要都是你内心产生的这种东西，会过马路吗？会过马路你就看这个专精图，非常简单，对吧？比如你看这个玩意儿，**看这个玩意儿，起来了一根专精图，白线在黄线下肯定是不做对吧？然后你说蹦迪买完这个以后，你粑粑做下去，结果你说这个操亏了变绿走这个我亏了2%，但是你要发给我告诉你，哥们儿，白线在黄线下，这个不选。所以你看刚才一开始那哥们儿不就相当于是这种情况吗？就是白纸黑字都写得很清楚了。那你说背后是什么问题是智商问题吗？不至于，没有人这么的这咱都说的中文。就是心里。
	所以说你这样你们觉得难的，退一步咱们测试一下，你去开一个模拟盘。我虽然不建议大家玩儿模，因为模拟盘没用，因为模拟盘凡是模拟盘测试，基本上很少有爆亏的。你只要好好操作，模拟盘做的都特别好，为什么？因为你的心态不会因为盘面而波动，主力洗不走你。但是除非你6月24进来建仓，那不一样，你只要好好的按照扔MACD金叉的方法，5日线金叉10日线的方法，你随便按照一种方法你攻击去干，你不会亏真的。但是一进实盘你真有你就会亏了。
	那个你不懂知行合一很难的那哥们我都印身上了，我还不懂吗？所以说知行合一，难就难在知行合一的这个一字。就比如说再说一遍，就是说你上语文课数学课吃智力，对吧？那你们要数学老师教不会，那是真教不会。
	比如咱这玩意儿说特别简单，你看就特别简单。你比如说对这个白线，这不这根红了，对吧？你看就特别简单，N型出来了，专精都红了。第二天开盘买会吗？会，买进去之后阴线，然后砖是红的，可以走，可不走就乱了。你得说红的就不走，他听得懂那红的葡萄拔一根一根这根变绿红转绿出出。没没赚钱，非常完美的一笔交易。但是你的心态有波动，凭什么我没赚钱，凭什么我还亏了点，凭什么我同一天买的他赚了10%，我他妈平翻出来了，就各种思想，方方面面的。
	但是你要做的是其实很简单，就是说我以前带徒弟时候跟他们说，你你不要去你你不要去看你的账户的钱，你先把每笔交易做对。你把每笔交易做对以后，积累了二三十笔交易之后，你就会自然发现，***账户为什么是红色的？所以这件事最难，难就难在你实际上每天都是在跟你的心里去做斗争。所以我说对于所有人来讲，说你刚开始做的时候，市场部长你去抱怨别人或都是别人的责任，我完全理解。
	但是说就是我不是今天被人黑，就哥们儿拿三年百大的时候，那三年被人黑的黑惨了，各种就很正常，就是说你没法通过喷我，而且关键是还不是我说的，然后你去赚到钱，你这是不可能的。如果能这样的话，大家互相喷，互相赚，早就都发财了。你要做的就是把每一笔交易按照咱们这个策略，你给它做对了。把每一笔都做对。做对之后你会发现一点，首先你会发现一点。就是你就不可能拿到一个这种玩意儿的票，不可能。就算你大傻子，你做好几张这种N型图的这种图，就算你追你追你也有能追对一次。比如你打一晚上这个了，1234，比如说之前没有交过，你知道砖形图12344根走卖一半，或者走今天出现这个不纠结，没什么太大的损失。
	说如果你要非问为什么呢？你不要问，那他就是走坏了，他这辈子这天起来有二次破黄线，你昨天就应该走，昨天不走，今天应该走，后面再起来所谓了，对吧？他你不要问为什么，没有为什么？哥们儿这市场没有为什么？
	没有为什么？比如当时在这位置的时候对吧？我也选了这位置，但比如他这位置是2分之1多点，是这位置，三月。哎。
	3月3号对吧，就这天，你看这个砖出来第一块，然后当天买完就变绿了，买完就变绿，你不要问为什么，说当天市场全都下来，对吧？连连什么也都下来，然后变绿，第二天早上起来9点33就卖在这个位置，大概其亏几个点，亏2到3个点出来了。你用非得折腾到现在吗？不需要，因为当时咱们这个专精图已经交过了，对吧？你甚至都不用看下面绿不绿，第二天买完没涨，然后的话你蹦极就卖掉了。所以非常简单很简单，不要想复杂了，没有那么多。
	为什么没有哥们儿？真的没有为什么很多早尤其早几年量化交易不多的时候，量化交易能赚钱，因为他不需要市场给他答案，他只需要市场给他结果。所以不要纠结，行了，赶紧睡觉。哥儿几个后面还是空头区间收紧一点。你选的胜率太低了是吗？如果你要是这俩礼拜选的胜率低很正常，这俩礼拜就是很难赚钱。所以在这刚才咱们说了，这位置你要么把仓位降下来，你要么就休息，要么就接受。
	现在胜率低，就是。
	反复练习。赶紧睡吧，睡觉就是我再给你们说一遍，真的我真的没招了。就是说股票这个东西，它是一个非线性的哥们儿，非线性的你们很多人做过，就比如你们去年11月12月很多人亏钱？你1月8直接他妈43% 10，你你你去年11月12月你们一个月亏8%，一个月亏7%的那很正常。股票不是以每个月5%赚上来的。你能听懂这句话吗？
	中文哥们儿，中文，赶紧睡觉。就是说你你比如说你要是坚持按照B一去做的话，你今年不会，你去年不会丢掉航天发展的。那么你全年来讲，你有没有航天发展，对于你整个这一年的收益来讲是很重要的。但是如果你把纪律做好的话，你亏钱，你黄线之下全卖，你亏钱是亏不了什么钱的。你去年没亏钱，你有正确的方法。你今天再来一波，你他妈随便四波三波来一波，你抓一波不都能赚钱吗？
	所以现在很多的老粉丝，你们其实大家心态都很稳的。平时发消息交流的时候，说这个我现在很放心，因为后面来个4%我就来了，我第一又来了，对吧？咱睡觉吧睡觉，咱睡觉，拜拜，数砖去了，赶紧数去吧，晚安，拜拜。
	赶紧睡。
	666个。

（内容由AI生成）
