	什么的。
	中华民族的伟大复兴一定是很坎坷的对吧？很坎坷。爱爱因霍恩不行的，不是阿贾克斯吗？对不对？说阿贾克斯也不行，那朋友FC two特五吗？这多的是，不用着急，对不对？
	亏了十个点已经拿不住了，哥们销户。股票是勇敢者的游戏，就浮亏十个点就觉得不行了，特别难受，疯疯掉了销户。哥们儿做股票十个点都扛不了，他妈做什么呢？对吧？相当于你想泡妞，然后发一个微微信约人吃饭，拒绝了一次就他妈崩了，心态崩了，就不行了，受不了了，感觉***奇耻。
	大主那那泡什么妞，对吗？花钱就行了，这出去150 100城中村，这不这快哥们儿腰斩了，哥们儿你这腰斩了，说实话你也得你是正儿八经要销户。哥们儿就什么行情能做成腰斩也不容易，对吧，天天抓跌停也不容易腰斩你想你你一个你10万块钱抓一个跌停是9万，9万再抓一个。
	跌停是81000是吧？
	81000再抓一个跌跌跌停，72000 72000再抓一个跌停，六万多再抓一个抓六个跌停，你他妈才能腰腰斩。哥们儿也不容易，说实话不容易。
	亏90%都微微一笑。
	哥们儿那您这心态说实话也得相互，因为太好了，过于好了，对不对？你这90%你还谈笑风生，那说实话是不是缺心眼？哥们儿，那得说实话，这个市场没有你想那么容易。
	对你要有理科生的边际亏损递减。哥们是这样，如果你要真的能连续抓住五六个跌跌跌停，我拜你为师咱就做空不就完了吗？天天就融券空间的，你选好哪个票，你后台私信发给我，我第一选哪个，我空哪个，我融券去行吗？哥们这不容易，包括有很多暗盘都可以做空的。**那他妈空间的，然后人家觉得我回头他妈再再再把我给再把我给打了，觉得我太准也不容易。哥们儿不容易，这么说吃了跌停乐队，那肯定。你这哥们儿你买一个肯定是便宜，你买三人肯定给你打折，你吃五个跌停肯定得打折。哥们儿这肯定的再论的。
	今天不约会去了。行，可以。哥们儿这个周日约会就约了。今天周三正日子，钱都花了，都已经消费了，你就好好学习行不行？上上二楼把茶都沏上，对不对？咱家二楼跟别人家不一样的是，咱家二楼自备茶水。
	今天很重要，就像我上周日说上周日很重要，确实很重要。你看这不就***有点小熄火，对不对？今天很。
	重要。
	这月亏12个点了，很正常。这个月亏他妈20个以内都很正常，太正常了，特别正常。
	你下一把。
	赚20个，30个不. 
	就行了吗？就比如说我相信咱们家现在老粉或者次新粉，绝大部分老粉次新粉现在此时此刻应该还好，整体上应该是觉得很正常。反而比如像我，我还略微的有一些兴奋，这他妈马上就会来一波新的强壮宝宝。第一就是说现在稳得住的人是为什么稳得住呢？比如正面你说这把你没有把仓位减下来，或者说你你你满仓下来的，或者说你这现在是空仓了，清仓了。
	无论怎么样。
	比如说现在心里有底的人，是因为你知道过往的方法，B1、B2还是B3，只要后面再来一波多头趋势，择时再来一波4%，一开始都他妈能挣回来，无非是下一波你能不能吸取上一波没守住，或者没守好啊，或者是没有做好中一些遗憾，那你下一波能不能做更好就行了。
	只有新手跟。
	外面那帮散户才会特别绝望，为什么？因为他不懂，他没有概念对吧？
	比如说你是。
	一个上学的时候是一个差生，突然间有一次考试，六六就是一道数，数学考试得了60分，你平时都20分，突然间一道卷子得了60分。不错，你莫名其妙欧洲你得的60分，发现全班80%人都是100。那这个时候你肯定希望别再考试了，就定在这儿就行了，这我就从此我也及格了。因为如果再考一次，你他妈你不知道你是三十还是40。但是如果说你学习没问题，正常学方法也没问题，再考。这把他们你平时都是80分的，你这把考1 60，考1 70，你下把卷子发下来，****跟你家拼了再来。因为你会做，哥们儿对吗？你会做。
	所以说现阶段。
	是市场咱们已经经过很多次起伏了，市场有涨就有跌。比如现在很多人很难受，为什么？就是让很多人难受，市场就淘汰。上涨的时候永远是对手盘最少。
	的时候。
	一定是这样的。然后起来之后把对手盤吸引过来以后，开始派发筹码。所以说现在你很难受。
	你要知道。
	这个市场，你只要在这市场待一天，那他的节奏永远就是难受开心。所以你只要知道，你比如老粉丝亲们用B一赚过钱的，用B2赚过钱的，你就知道无非我在等下一个波段来。
	吃了我的给我吐出来。
	拿了我的给我还回来。但是下一把如何能够做的更完美一些，仅此而已对吧？所以说不要慌，现在有什么可慌的？就是说大家不涨就这样了是吗？就永远就这样了是吗？就永远就在这个位置了，然后后面就没了，他也不涨也不跌了，是吗？
	不用担心，就很简单，你明天抓俩涨停，你退出这市场，你不玩了吗？你销户了，说哥们儿我就这20%，我觉悟了，我拿出来走。哥们儿你赢家人生赢家。
	大智慧你只要在这。
	市场里边，你就记住永远就是起起伏伏，永远就是下跌上涨上涨下跌下跌上涨上涨下跌，永远就是这样的。所以策略里面也会分，你要么做短线就是超短，你要么做波段，要么做长线，拿去不动。根据大家的心态，牛仔哥不会有3000点保卫战了？会哥们还1500。小小小心点。我这真不是阴阳怪气，因为我没必要阴阳怪气，只是说这个什么可能都会有。
	但是咱们说实话实说，咱们说你比如你说你说你说那个会到三天内，我会，很简单，来咱俩咱打赌100万，来咱赌100万对吧？那哥们儿问会不会3000点，我说会，你说不会，来咱俩赌100万，你敢跟我赌100万吗？未来不会到3000点对吧？就相当于你跟我打赌，说说这个以后会6 6000点吗？没人敢这么跟你赌，你不知道，大一这三千点很***有都有可能是吧？所以为什么这个世界上有保险公司呢？但是。
	咱们说。
	就算3000点了，正常来讲跟我有关系，因为我是满仓拿去不动，那跟你们很多人没关系。黄线之下，大盘现在是不是在黄线之下，我今天还没看到，**，今天下午踢球去了，我想。对吧大盘黄线。
	之下，你。
	应该在场吗？你应该有仓位吗？要3000了，跟你有关系吗？第一节课教的是止损，然后双线战法交完之后交的是黄线之下不干，然后交完择时之后，-2.3以内空头区间下跌永远。
	比上涨容易。
	所以说不用猜。
	也不用赌。
	就是市场没有人能够完全预知市场怎么样，猜对都没有，都是你就跟着市场走。比如说如果你要是在上市-2 23之后，你就真的只卖不买，然后你要玩的话，你也就是台费玩无所谓。你现在这一点一点无所谓，但是你做得到吗？你做不到。你说你上次没做到，这次可能还没做到。我跟你讲下次你也做不到，市场上就是这样的。但是你你你做十年，哥们儿你亏十年。
	就是你你有一天你也是非常忍着疼痛的时候，把这玩意儿纹身上的时候，哥们儿你就有可能开始做到了，所以我是觉得很正常，一切这都太正常了。就包括很多人后台给我发消息安慰我，我哥们儿不用安慰，说说这个外面现在古巴好多喷你的什么什么野区里面喷的很正常，都经历过。以前我们产品做的不好，然后把我关在小黑屋里反省都有啊，很正常就是市场永远是波动的。所以我从一开始我就说到最后肯定有最后绝大部分人淘汰下来。小黑屋我讲过，就是你们河北。
	被抓起来。
	那上市公司老总，他们那公司做委外产品的时候，把我关小黑屋，不叫关，就让我在那等他，就这意思。我以前讲过是吧？讲过不是我说的，就是说本质上相当于不关小黑屋，让返景吗？但是实际上就是让我在那屋子边等老板。
	然后我要说什么呢？就是说咱们老粉一路过来的，应该已经习惯了。每次在下跌做同样题的时候，不都是会有一批一批一波一波的。
	对吧？
	但是还是那句话，但凡上过一次二楼，都不至于如此气急败坏，因为这是对他们智商的一个侮辱。真的。
	任何的票。
	黄线之下，比如说你们手里拿的所有票，除非你们像我一样长线拿住不动的习惯了。凡是给你们亏损，占你们账户额度比较多的票，是不是都是黄线以下一直在往下跌的？如果你反过头。
	来拍掉，无所谓。
	的。

（内容由AI生成）
