	把我的伤悲，我的泪。
	比如再往下接着教各种各样的后面这七八种，我觉得是可以用到的，技巧跟方法也都非常好用。别着急，再多了就乱了。比如说最近的专精图，其实专精图还能演变出很多的玩法。然后我看。
	有些人做做。
	我的这个视频的二创或者什么，他们有可能有一些他们自己的思考。但是别着急，就是一定要从基本功真的很简单，黄线之下卖最多等一根，是不是基本功有多少人真的做到了？这一回有多少人做到了，说如果这个都都没有做到，往下再接着教有意义吗？没有意义，基础空不是空中楼阁了。所以说别着急，慢慢来。
	比如这活跃事实给大家看的是什么意思？活跃事实另外一种用法，大家知道是什么吗？活跃市值的另外一种用法，比如说你看到整个的全貌，这是从2018年，一直到今年整个八年的时间。你把这个来看是什么东西，咱们就只看图，这是个什么东西。
	这叫筹码沉淀，筹码沉淀就是说。你把它放到一个全貌来讲，最早是93年就开始了。93年然后一直到今年，它活跃市值是不是一直创新高？
	那货币值一直创新高的原理是什么呢？那就非常简单，就是整个A股的市值越来越大，那市值是怎么变大的呢？是筹码跟钱的一个交换，就是你资金变成筹码的过程。那也就意味着从93年刚开始，这位置是什么？三看到了吗？其实是02.933，一直到174307。什么意思？就是说这个市场里边沉淀下来的钱就是筹码变成了钱在历史的最高位。
	那么有通胀原因吗？没有，这跟通胀没关系。这个是完全反映的是A股的筹码变化的趋势，就是比如IPO什么叫IPO1家公司上市，比如在这个位置上市是不是把筹码变成钱？就是把股权变成钱，就是把筹码变成钱。那么变成钱以后，蹦迪就mark在这儿了，设一个点O这位置就是。增量的资金进来。
	然后等于说。
	这一路随着IPU，随着各种炒作，所有的东西到这儿，到这个位置说明什么？说明整个在这个市场里边有价值174307的筹码都换成了钱。而这些钱，又沉淀在了这个市场里边。所以说从大的趋势来讲，有人说A股。一直指数不涨怎么赚钱？原理就在这一块，就在于IPU的人一直在赚钱。就是上市公司国有企业。
	脱困。
	国股改制，科技股的变现，一直以来的大消费的减持，同时还有优质公司筹码的分享。也就是说实际上从93年的这个位置，比如说从零开始，从一开始到174300，相当于就是在这个市场里边证指数里边所有的A股里边的所有的筹码变成钱。如果理论上你从第一天你就拿钱去换成筹码的话，你理论上每一次百分百都插队，你可以翻17万倍。但是我们知道这是不可能的对吧？
	这不可能的。
	那么说能用的理论和认知。
	是什么？
	就是大A从93年一直到现在的2026年，至少目前的这个位置相比这个位置看到吗？就是18年的这个位置18年的这个位置和今年的这个位置是又有很多钱变成了筹码。所以就意味着什么呢？意味着全社会的财富的趋势，在当前的这个位置是绑定到股市资产里面的一个高位。
	对，你的钱变成活跃值是这意思。比如说你看完4%之后，4%之后的第二天，比如有个7%，正好你也干进去了。你对活跃市值也是有问题，是不是把你账户上的10万20万变成了筹码，那么这个过程就在这上进行体现。而在下跌的时候，就是筹码变成了钱拿走了，那就意味着整个市场的市值是这样是变少的。
	所以说拿这来看，说当时在这个位置这儿，这是14年到15年一下蹦这么高，看见了吗？一下从这个位置到这蹦这么高，蹦到了18万，从16000蹦到了18万。所以当时为什么14到15年那个牛市那么大？就是因为大量的筹码变成了现金，也就是有大量的现金接了筹码。就是你无论是正常的减持，还是优质资产大家来争抢，还是虾芝麻炒作。无论是什么东西，就是说一定是大量的增量资金把场内的筹码激活。儿子的资金入场一定是为了做高拿到筹码，做高股价。所以要记住活跃事实的本质，它是体现的是筹码跟增量资金跟场外资金，就是筹码跟钱的关系。然后咱们这么看。
	这个位置是14年5月30号，当时是1415大牛市正式启动的时间。然后最高点在这个位置是15年的6月15号，正好一年多。在这个过程当中你会发现在之前这一二年的12月。是不是先来了一波，然后来完一波后，你会发现钱变成了筹码，然后在这位置筹码又变成钱，然后又变成筹码变成钱变成筹码变成钱变成筹码变成钱。来了这么大一波之后，但是位置一波、两波、三轮、四轮、五轮，轮了五轮之后，依然有大量的钱是换成筹码的。
	换句话来讲就是什么这位置进来的大千在这个位置打的底仓，在这个位置完成了市场里边浮筹的交换，那最后在这个位置剩下的筹码叫什么呢？按照量它的成它的量应该是很小，咱们看一下是不是量是很小的。你看咱们跟着画一条线，把线比在这儿，大家注意看我这个线，这个横，你看这不是识字吗？能看见十字吧？能看见，比如说在这个位置你看然后你整个一一打平，整个这一波的量对应整个过往来讲都是一个集中的密集的相对的地位。也就是说洗了五轮之后。
	把市场的浮筹。
	尤其是这一波的浮筹就彻底给洗干净了。中间比如说在这一轮有人骂Z哥**，这一轮骂Z哥**Z哥**Z哥**，Z哥**，然后骂Z哥**的全走了，在这位置完全缩量了，没人信了，特别是这根，你看这根最小的这个看到没？在这根。
	最小这一根走了。
	走完之后，锁仓拉升。
	锁仓。
	拉升看了吧？锁仓拉升。所以就是说你要注意这看这个关系，看这个关系，但是这个过程时间是多长，完全取决于场内筹码交换的力度。这个等于说由于时间空间的关系。
	但是对于咱们要关注什么，关注的就是之前底下打底仓的这一波连续上涨的这波钱有没有权重，这个是最关键的。所以你把它来看，比如说你看后面从这儿这波来吧，那在这一波杠杆牛里边必然会有很多的价值投资的钱。因为公募，公募也发出来，那么往后看说他们全走了吗？往后看没有对吧？没有为什么这一波进来的很多人做价值投资，人家做的是长线。你就那边是反复摸摸，一直到这儿看啊，注意，到这儿到18年底的时候，基本上这波做价值投资的从15年到18年三年洗没了。看了吧？回到了当时旗长的这个位置，彻底洗没了，还剩下一小部分没找。但是整体上来讲，一波行情完了以后，下一波行情发发开始之前，就以前的大A，一定是给之前这波儿所有人全都***弄走之后。再次的启动市场。
	太残酷了。
	对市场这种就是打仗，就是你从你兜里抢钱。咱们去回看我的最大的体感是什么？当时视通我们管理的产品，包括我个人管理的产品，在一二年的年底的这个位置。然后还有在这儿一二年。
	年初的时候。
	还有在一年大概齐这个。
	位置。
	分别有产品扛不住了。每次的这种反弹，就这种反弹，就这种包括这种还有这种包括最后一波的这个真正变成齐涨的这一波活跃市值，都是因为在这个位置有大量我们这样的私募产品，或者是被大量所谓的公募，或者是很多信托产品在这块爆掉。有人在这儿捡筹码，捡走了，就在这块把最后的把筹码都换成了钱。等于说你无论高位发的还是你变成了钱，有人就在这个位置把你的位置筹码变成了钱。
	他把这个筹码都。
	接走了，接走。
	完了以后蹦迪。
	你甭管人做多还是做少，都欺负，到底谁在使用，这跟坏没有关系。市场里面就大家都是在在挣钱，低买高卖，这跟坏没有关系，这完全不存在，千万别二元对立。这不是坏，就是没有一个没有就有市场这种走势。这不是什么一两个机构能够去弄的这不真不是因为A股市值已经百万亿了，跟GDP差不多了，就是这东西充分博弈的，这个不是什么几个的机构。或者是什么麒麟会等等等，不是就这边同样每一个位置都是死了很多麒麟会像什么中中泰哥的麒麟会在哪个位置，人家可能人也报，你知道吗？
	这就是筹码的交换，永远就是筹码。有多少筹码？筹码总是要交换。就有人总有一种新人就是后浪，总是要把前浪拍在沙滩上，你不死他就不活，你不死他就不来。你他来了以后，他把他牛逼了以后，他最终他也是会死，撕完以后永远都是这样的，但是最后谁把钱赚走了呢？上市公司。
	核心资产。
	就是那些市值一直在不断。
	长大的人。
	他们是真真正正的这个市场里边的获利者。所以为什么这回什么证券法的完善，什么法律法规的完善，为什么一直在完善完善就在于如果你老这么搞的话，就没人玩了，就没人玩了，明白意思吧？没人玩了。就永远是自己卷自己，就自己吃自己，就跟你同样体量人给你吃掉，这辈子给你吃掉，他赚一波钱，他这没有走一波下来了，他割掉又来一波人，然后把他做起来。所以说美股和美股不一样，美股以前是这样的，美股从什么时候不是呢？
	从它的401K. 
	全面大比例的持有美股，以及相关法律法规的完善，以及全世界比如说沙特王爷在他那儿长线投资的所谓的耐心资本的钱，他也是不断的慢慢的完善过来了。不存在美股都是好公司，美股的差公司多的是，这玩意都一样的。就比如说你把这你这么来理解说，如果有一天A股里边A股100万亿的市值里边有20%到50%都是社保持股的话，那我问。
	你谁。
	还敢乱来说？如果这样人疯狂跟着减持，疯狂跟着割的话，你觉得管理层会让他好过吗？
	就这意思。
	杰克米诺现在指数能在3800这稳着，从2600到4200，回到3800，在这吻着，为什么会金？大量的人家的底仓在里面，你不能乱来，所以人家比例会更高，人的监管会更严。所以我讲这个是什么意思？就是说以前你看看了吗？以前大A的本质是什么？就是你就把它理解为我以前说的大A的本质就是登起来，然后出货，然后砸下去，然后再炖起来出货砸下去再弹再砸。每年有两波循环，大概这就是一个一年、两年、三年、四年，这个是五年，它就A股是不存在当时不存在什么价值投资，永远就是波段。
	永远就是波段。
	你看你拿活跃石看的波段很明显，这就特别明显，对不对？所以说牛市的时候，当时只是在05到07年。
	竭力，你看像样的拉升波，05到07。然后这个是14到15，然后这波大的是什么呢？这波大的是当时4万亿，然后之后就是。
	这波924。
	你看像这一波，为什么所有的机构慢慢的共识是觉得这波可能还真是指数呢？至少你不管是指数，是指市场的一个慢牛。因为你看任何一次相比任何一次这种幅度的波动率以及N型的这种结构，目前看不到是跟以前那种直的杀起来直的下去直的杀起来，直的下去，看到了吧？包括这儿直的杀起来，然后一二两波就已经杀到这儿了。所以这次跟以前是不一样，不一样就体现在它筹码变成钱的这个速度跟节奏跟以前不太一样。
	咱们结合刚才讲的所有的这些背后的逻辑跟用法来看，现在这位置说明什么？说明9224打起来的这波资金在这个位置。你看924打起来的这波资金在这个位置。锁定了，但是是谁锁定不知道，这个东西没法再细分了。这个不可能有一个人知道答案，唯一知道答案。
	的可能就是。
	管理层。他这个所有数据一统计，AI跑一圈挂机川的来了，来哪儿了？困震我一下。Donald john trump, i've already been upstairs. 操，可以，welcome back。We need you. 
	来，咱们接着来，穿的还封个板，你看穿的穿的在二楼，来吧。拿这个来看，你看这波8打起来924打架，9S的资金打到这个位置，当时这个位置是4月7号，看了吧，那么4月7号没有再往下杀回来，就92等于说这点能明白，就是924的人他不他不同意你4月7号你给我打下去说明什么？有任务，就算不是任务的话，你好听的说这叫他的耐心资本。那你要说直观的，就是你看这不很明显，拖着这是任务，他不敢卖，至少是不敢卖。蹦迪这波起来了，你甭管它是踏空的还是什么，那波百色人来的你不用管，反正增长资金来了，来了以后在这个位置的时候，当时大盘在这个位置，在去年9月份的时候，九月初的时候，市场里边的筹码变成钱带来的整个的市值，就是资金持有的筹码的数量当时是最高的，然后。
	又会有。
	大量的获利盘杀一波，一直杀到了去年。
	的年底。
	也就是说咱们当时在在这个位置，在这个位置聊的说，这道题是这么出的，期中考试是吧？然后到这儿说，做过的题不要再再错一遍。你们说下次一定结果到这儿，很多人又没有做到苏州。目前来看，整个市场里边每一波的筹码的态度来讲的话，现在大盘回到3800的位置，就是没有理由说在这位置认为A股跟以前一样，他们要杀走他们要杀走。
	他们要杀走。为什么？
	因为在这个位置知道筹码锁定的是跟去年的八月份和前年24年的11月份的时候是一样的。那么这个是怎么带来的呢？就是里边市场内部筹码的交换，比如说券商杀估值一下杀到***地板上了，杀到了924位置，恨不得。但是在这位置，因为是航科技新的生产力，把语语数加塞对吧？这都上来科技的估值就是不一波两两波，这两波拉的都是整个科技半导体的AI的估值，那么就要有人去做对冲。对，包括白酒也是往下这么杀。
	所以咱们通过活跃市值说看到的东西什么？不光是以前说的4%跟-2.3，更加要看到的是整个市场里面的筹码在谁手里。如果说当前3800货未来跌到3400，说如果未来跌到3400，然后活跃市值在这个位置了。那可以说基本上就熄火了。就是说之前的这波人，他们你可以把它理解为说龙队还是什么玩意儿，人确实不玩了，因为筹码都在外盘的散户的手里了，他全给你了。但是咱们说现在这个位置人家没给你，人只是在所有获利盘，这波有没有获利盘，对吧？那这波有没有获利盘，这波有没有获利盘？也就活跃市值它反映的最基本的是筹码跟钱的交换。那么次次一级来反映的是，如果924到这儿，如果这波回调是杀到了这个位置，说明什么？说明之前人主力拿了筹码，在这个位置人全给你了，这就是真出货。
	比如像这一波，你看这波起来杀到这波4月7号时候，是不是这波增量资金全走了。那你把它理解为说至少在这个位置的筹码是很松散了。那你回去回想当时咱们在4月7号那天的这种感觉，是不是很很绝望，就市场里面感觉几乎没有人赚钱了，增量来了，无论你这个位置来这个位置来，这个位置来已经感觉都他妈不赚钱，就是很难受。那位置很难受了，你只有当时924来的人，你才能赚到钱的。所以在这个位置来讲，这个位置消化的是924的活力盘。那么这个位置是消化第二波来的这位置获利盘也包含924的，就这个红色跟这个红色区域有可能筹码交换，这点能理解吧？但是最后的结果还是钱比这个筹码要多。
	沙沙声是我这个电脑的风扇声音，所以你往这儿你这么来捋的，说当时4月7号起来之后又来了两波。然后大家注意，这两波当时这两个月是不是创新？跟壳核记不记得当时这两个月是创效，跟壳核其他的所有票他妈屁滚尿流，就4月7号一直在底下趴着不动，或者阴跌，或者趴着不动，在这个位置。但是创新药它本身创新药的大部分都是在港股，所以说虽然创新药有行情，但都是那些什么娜娜，都是小微什么的小市值四五十亿到80亿都是这种玩意儿乱来。
	所以实际上在这个阶段之内，有很多资金都是在跑的。4月7号，因为当时是毕竟是加关税，打关税账，又加了100了，很多人不信，记不记得很多人不信。所以还是有很多无论是聪明的钱还是散户在这个位置实际上还是在跑的。
	如果说外盘他他当时没有做到，没有像咱家什么可可、固态什么创造，当时轮动是最完美的。那那三个月的轮动是最开心的。说如果他没有轮动到那个里边，他的体感是非常差的。为什么？因为当时市场里面对于很多很多的筹码来讲，它是就是要变现走的。所以每次打到了这个位置，等于说从这个位置一直洗了一次、两次、三次、四次、五次，洗到了五次才来一波新的。就是说对于主力来讲，说924来了到这儿洗到这儿，这一波能不能拉到这个位置？能，但是如果拉到这位置就结束了，就直接A杀下来了，就是1415了。
	能不能明白？就是所有的复仇的整理，他都是在为下一次行情做筹码的收集。如果他要是不收集筹码了，就会像1415年一样，它直接非常快速的完成两波或者三波或者一波的上涨。你看一波的上涨直接就A杀了，一波上涨直接A杀一波上涨直接A杀一波上涨直接A杀，一波上涨直接夸折叠一下A杀。所以你看以前的A股就是这样，比如21年一波上涨，然后直接三波下跌。看了吧，然后像这个是你尤其是特别明显20年的时候，那波8直接券商还带起来之后，公公一就下来到这实际已经结束了，然后主力又在又他妈再又做了一波，又骗一波人钱，攻击又下来。
	但是到这儿为什么后面有这个呢？因为你看他在这儿做了一个洗筹换筹。你可以把它理解为有可能这儿没出去，或者有可能这儿没有出去，或者有可能从当时来讲的话，有些行业医药，比如当时医药。但是不疫情不让跌，对吧？你要否则你你那个那个经济也不好，股市也不好，那不就不行了吗？所以就是他这个位置如果后面没有的话，他就一定就回到之前的这个位置了。
	比如说在这个位置8起来到这位置，你去看，这儿N型是上涨的。你看从这位置到这位置，是不是最后到这个位置又回来了。看到了吧？但是不是他到这儿还是有点余孽再起来点，但是他要不做了，就是这么下，不做就是这么下。
	所以咱们回到这个回到现在来看，咱们去想一下整个大A目前筹码跟钱的交换的这种感觉。就24来了一波神秘力量，直接他妈登进来，对吧？趋势大反转，但来之后短期涨了40%太多了，开始清洗浮筹，或者有些常年没有爱爱，没有减持出来的，他们要减持出来，然后又来了一波。
	这波有可能说外面很多保险看懂了，或者很多公募看懂了，跟着加波仓，或者是什么私募跟着加加波仓，加完仓以后不行，没起来对吧？就折叠了一下没有起来，又下来，然后开始4月7号，4月7号之后，然后这后面三个月是整个的市场在消化贸易战带来的影响。后来发现阿萨穿的他塔克也就那么回事，咱们没有实质性的伤害。然后后面百岁源那边做了一波半导体跟大科技，做完之后创了一个新高大的获利盘。我问大家，如果要是以前的大A的话。那活跃数值应该怎么走？如果是以前大V的话，以前带化学时应该怎么做？
	应该至少回到这个位置，至少回到前低的这个位置，它的斜率就不一样了。你看大家要注意看啊，这波斜率看到了吗？然后这波斜率看没看见，然后这波斜率。
	看见了吗？
	发没发现12345这5波的斜率是不是都要比这个和这两波的斜率要稍微的抖一点？越来越反对。
	那为什么越来？
	因为在这924轴我都不信咱们在聊州，对吧？到时候大家能不能给我大A都是垃圾，我起来。
	他妈也得下去。
	别着急，等一等。第一不要追啊不要不会大功就在于我们这些之前被他教育了20年的人，我们都不信，这不可能，**起来蹦迪就他妈吓吓的，不信。所以你看场内的大资金都是值的，就真的卖筐筐卖，摁着头趴不停的卖，一直在卖压着卖，这就是以前大概就是这样。对，当时我说不看A股就这意思，然后这起来之后，你看这斜率又他妈压着卖。一直到4月7号，**从所有的机构就是从4月7号以后开始慢慢的再相信我也是从4月7咱们4月7号晚上那天直播，我是不是还特别沮丧的说，我说我很。
	失望。
	之前宣传的说的是阿特要怎么样，但是实际上4月7号他该来的时候，咱们没有发现，对吧？我说我很失望，当时的老粉丝丝们应该都在我那天我说我很失望。对，就是因为那不还是以前的大A吗？对，不，还是大，你不还是这非常放任吗？而且大家不都是随便卖吗？那么你看这个斜率的改变是不是就是从那天开始的，是不是就是从那天开始的斜率有变化了。比如这是45度，这大概45度，这大概是是35度。但是之前都是他妈50度，这他妈已经60度了，对吧，这他妈直接他妈个70度了快。
	所以你可以看到说，通过这个图形你看到是什么？在于如果他真的不要了，就咱们当咱们上次加加餐时候就加中轴说不要了，那他一定是这么走的，就真不要了就走了，就不要了，不要了，就跟以前A股一样就不要了。所以这个东西我在一楼我说不清楚。所以咱们为什么说上到二楼，咱们要好好讲一下。原理就在于以前一直到机构到4月7号的时候，包括我也是我是不信慢牛，所以我都4月7号之前我只是说核心资产的绑定，但是绑定怎么走我不知道，我没我在4月7号之前从来几乎很少说过蒙牛这个词，因为我是不太信的。所以一直到4月7号之后，**包括在这个位置，包括所有的整个圈儿里边，包括在一些群里面，专业群里边。不信我抄底，不影响我抄底，因为有波段，短期跌的多了。
	不不不影响我抄底。
	而且抄底的话，我也只是上午抄了，到下午我就不敢抄了。我要真信的话，我不他妈我存款大搬家，我满仓抄了吗？就是大家都是这信跟不信到信都是一个过程。对，波段都能做，从这儿已经都他妈杀到这儿了，一个波段又不是第一天下下山。如果说这根4月7号这根活跃数值是在这个位置，我也不敢抄对，这就没有必要杠了。如果我真心的话，我在那个位置，我他妈把我所有存款都放进来了，对吧？所以慢慢的就造成了这种东西，你会发现所有的机构都认为说确实。
	不一样了。
	比如你看这一波的斜率是实际上是非常缓的，包括这两波的斜率到这儿才发生改变，是为什么？是因为在这个位置的有点像这个位置是在渝川子又演了一个超级逼真的一场大戏，说大哥有没有可能信的时候就叫西瓜，你听我说。所以这个位置等于说在当前这个市场里边，无论是专业的还是业余的都没有经历过海湾战争时候，对股市的影响最多，也经历过之前的俄乌，但是俄乌打仗对世界其实没那因为俄乌没跟他没什么关系，霍尔摩斯海峡没有风，就俄乌打仗对整个原油，什么什么大宗黄金，不也没有什么什么大的太大的影响吗？所以等于说到这个位置，斜率突然变变陡之后是发现在这本来还他妈特别相信的人，一部分开始不行，那么咱家体现的就是粉转黑。但是你从整个的对俄乌指区域战争，它不会影响全球的经济格局。但是霍尔摩赛亚一下把全球经韩国、日本他妈快拉爆了，**。所以说你从这里来看，说人家924神秘的。
	资金。
	来一直到这个位置，他们撤了吗？咱们从非常客观的量化的数据来看，至少你看高点这个位置，至少跟他同等体量的大资金还是在的还是在的。那么只要他。
	这边不倒，那随着。
	整个浮筹的交换，那么你绿完之后一定是红，绿完之后一定是红绿完之后一定是红。然后咱们说刚才那哥们儿问说所有人都信的时候，会不会就有问题了？咱们自己去复盘，2月2号之后，咱们经常说这个只买不买，有多少人信？没有？几乎很少。然后三月几号来的这个位置，3月10号，周五3月13号对吧？3月13号的那那一周，我这辈子守一波。因为你们之间经历了这儿，或者经历了之前哪个位置的。
	这些位置的黄线。
	绝大部分还是不行。不，绝大部分还是信，对吧？信蛮牛，信跟之前的每一次都一样，他还能拉起来吗？结果在这个位置你可以说是一次非常典型的，绝大部分人还是信慢牛，而不信会接着调整。所以最快速的一波下杀跌是在这个位置。
	那么这波下来一个是内因，一个是获利盘。毕竟创新高了，4200点了，局部板块的创新高，以及外围的整个世界大的经济格局的一个大的噪音。所以在在在这个位置，你为什么这位置就有点恐慌了，包括现在斜率也改变了，对吧？之前这个斜率明显，就这个斜率就加速这个率要比之前的这一波要大很多。所以等于说现在至少在目前的这个位置来讲，资金跟筹码又不信了，回到了当时这个位置的感觉。那么咱们不用去去关注这个东西，咱们只现在只需要关注两点。第一是这回的调整，因为原本想着起来能够打到一半这个位置，你看之前其实这是反弹，如果再磨一磨上去了是最好的，就有点像上一波打到一半的位置，这波人没打到一半杀到这儿，那就很有可能后面就杀到这个平台。所以要第一个要关注的是活跃市值，如果穿在这边还***整个的持续时间。
	很长的话。
	那可能他就依然会杀到之前的这个位置。如果这个位置再往下漏掉的话，那就要重新去审视这一部分的增量资金。
	有没有走。
	所以这是第一个。第二个是如果杀到这儿了，后面再开始起来4%新一波来了，那就需要考虑说有没有可能是重新来一波这个东西。但是至少在目前这个位置，你不能说924开始的龙队开始去主导的一个慢牛的结束，目前没有看到。然后。
	还有一点就在于说。
	往这儿杀的有没有强势股？有往这儿杀的有没有强势股？有，但是最后一波杀的时候，强者要变弱了，也就是要完成最后的补跌。每一轮新的行情之前孕育孕育新的行情之前的最后一波调整，就是之前上一波强势股的补跌，不是千股跌停，不是，而是高位股的补跌。比如说华兰就补跌了，懂这意思吧？但是说为什么，比如上礼拜为什么早就跌了，就在这个位置跌完以后，这波就没参与，是谁啊？创新药对吧？所以在这一波的时候，创新药等于说率先去启动未来的这一波了。你能不能明白？就是说市场它不是大家一起三波来，咱三波123一起到底不是那样的指数就崩了，而是各有各的节奏。
	你说在这一波下杀的厉害人，有可能是上一波创新药的的最后的那一波冲刺的下跌，到最后底背离的那一波加速的下下杀。然后这一波大家知道这波是谁？是券商白酒往下我的稀里哗啦的，**什么赛赛之前之前在在这一波还创出新高的那一波，在这个位置完成快速的8下杀。那么如果说后面反弹一下再下杀一个第三波打到这个位置的话，那这一波的筹码变迁是谁？那就是可能在这个阶段或者在这个阶段还在创新高的强势股的补跌，穿的放零工床架加税，这哥们儿这都是老的新的了，上个月就有，然后休放假前也有，他收的是。
	那医疗服务的那一块，医疗器械医疗服务那一块跟创建BD是不影响的。所以说大家要有一个节奏，比如说为什么你看在大盘里，就是在绝大部分人体感不好的时候，创新要逆势的往上去涨，有增量资金再入，为什么呢？是因为创新药早在这个位置在这儿的时候，它就已经开始调整了，或者在这位置后来补涨了一小一小下一小小下。然后他这波完全是缺席的，对不对？12月1月完全缺席，对吧？他在这块他就没有跟，所以在这个位置中，因为市场主力或者大的机构，或者小小的私募，他们要他们是主导大哥，是做挖掘的。大哥钱从这位置出来，从这位置出来，他要进到D的里边。那么进到低的里边，他就要在这个之前跌的屁滚尿流，同时有业绩，然后也有故事新故事可以讲，在里边去找，所以把它扒拉出来了。
	就比如说在这个位置，当时这位置反弹时候还有新能源对吧？还有什么储能、固态。但是人家他妈这帮人在在在这一波在这一波固态见的顶对，然后再说固态，后面这一大波也缺席了高切低，对，就是主题轮动的高阶低。所以说再往后杀跌的这块，站在此时此刻的角度来讲，有可能是什么呢？有可能是一个高位强势股的补跌，还有一个就是之前跌的赢，这么在炮弹坑里边的屁滚尿流的一个随机的震荡。
	或者也有可能就跌不下去了，但是最后的这一波筹码了快速的变成了现金，一定是这波创新高这波创新高，这波创新高的那些炒完的S一的票，所以说在这个位置说，比如再再跌一个星期或者两个星期，就活跃市值，再绿一个星期两个星期，可能大家的体感就不会像前两个这一阶段体感那么差。是在于可能绝大部分人，就市场上的绝大部分该跌的都他妈都已经趴地上了。最后这些就是给那些没趴地上的，给这两个礼拜感觉体感还不错的人，给人家结个账。
	所以我之前老听说空头区间只卖不买，就是在于说你在这个位置做了几笔好的交易。你基于当时的几天来看OK没问题，但是你基于整个调整周期空头区间的一个完整的波段来讲，不好说。你有可能前面做的都挺好，最后一礼拜你买当天一跌停，第二天一个大幅低开5%，**全死白弄。对，就是这在这个位置再往下走的时候，基于目前来讲，该该割的也都他妈割差不多了。往下就是空跌，我们来讲就是空跌。你比如说你们记着当时924完了以后的那个阿阿敏，或者92之前的阿免空爹，这就是空空爹。迪迪上个月的迪迪那会儿空爹比如像现在的赛赛坑爹啊，因为赛赛在这个阶段还在创金刚，对不对？我看看不是这个阶段，我看看这是几月几号，这10月30号，10月30号大概是在这个位置，在这个阶段这还在创着新高在这个位置还在创着新高，等于他错过了这一波。但是你要看迪迪是什么时候创的新高。
	地点是五月份。
	这里弟弟是五月份。
	创的。
	新的早上涨早下跌，早下跌早反弹。说如果基本面大逻辑没有变的话，所以说就跟机场排队起飞一样，不是一定，不是必然，不是百分之百。咱就说根据历史的经验，别说他这个说了什么没我没说，就是咱们一切都要基于盘面的动态去看。就比如为什么这一把在最难受的市场里面，绝大部分人最难受的五天活跃市值加速下跌的时候是创新药呢？是因为创新药早在他妈这个位置跟迪迪一样，后来你发现是不是创效跟迪迪他妈这一波轮起来的，发没发现就是人家早调整完，人家发现业绩也没问题，业绩也没有翻脸，也没有变脸的的。不是说马上他妈从之前***都增长10%变成负增长了，所以他们是同一时期，就是迪迪创新高跟跟创效创新高是同一批。你把它理解是同一届的，同一届的人在这位置率先起来，为什么？因为他们价格跟业绩相比足够低了，所以说。
	并不是这些。
