	在我正题开始前，你允许我吃一块巧克力。
	然后你看当时在这个位置，这天4月7号放量了，然后这根儿是平亮的对吧？然后这根放量的放量多，为什么？因为在那个时候很多机构是没有筹码的这是多少？这是什么？三千一的位置，就3100的位置，3000到最后的33040，在这个位置机构很多人没有筹码的，当时是很多人是不信的。
	然后这一路你再。
	起来到这儿的时候，你看这这一这一段没有，这是个跳空，没这边没有套牢盘在这个位置，所以你看后面的缩量，连续缩量上涨缩量的。因为没人卖，机构好没入场了，他不可能这他妈三五点他就卖了。那么这个位置是不一样，就现在很多机构都在场了，机构来不及什么走走这儿了，就或者很多机构就没想走。比如说很多私募，90%私募都被他就是都是都不那个几乎所有的私募都是90%以上的仓位。而大的公募基金新成立的巴马上键盘有都是90%多的仓位，他们来不及走的，所以很多筹码在这已经给锁定了。
	那么再往上进入到这些成交量的密集区的时候，这块就该放量了。如果是真的话，那就***一定得放量。说如果这儿不放量缩量，那就说明筹码锁定更好了。所以你不要就不要过于关注说在不重要的位置放不放量。因为所有的比如一定要给你这儿找理由，找都能找，但是你得看背后的逻辑是什么。说白了这两天如果放大量起来了，好事儿。但是他为什么没放那么大量，说明有些筹码人影都交换完了。所以说该说性质记住大盘现在反弹，这个大盘现在起来的两个性质是反弹，性质是反弹能走多远要看活跃市值的后面到底能不能继续。
	那么通过资金的性质来讲，是属于真实的增量资金入场，但是并不意味着真实增量资金入场，后面这个反弹就能持续到多高，没人能猜到，这不可能猜得到。所以说在现阶段这个位置来讲，就相当于是一个试金石，挡住了是吗？OK那你看活跃市值是看有没有真实资金进场。比如说咱们说说这位置这两根缩量，然后还来了两根大盘来讲的一个中阳线，然后一看活跃市值，**还是两根儿这种玩意儿，那就有可能是属于蹬起来再杀。明白意思。
	就是我知道。
	咱有很多新人。就是我说的所有话是基于我个人对这个市场的理解和经验的认知。不是说我说的话就一定都是对的。没有你不可能有人百分百完全能够判断这没有，我只把这件事情它的性质跟大家讲明白。就是说如果这两根缩量的阳线配合的是两根这样的活跃试纸，那就有可能是大资金控制指数蹬起来做一反弹，自己跑完之后后面再杀就是又多，明白意思吧？但是比如你看这两根儿它的反弹，它对应的是正儿八经的两根儿。
	快4%的活跃市值，说明就是真有增量资金入场。那么在这个时候，不是说这帮人来了就能给你拉起来，真牛逼的话，今天是6%、7%，明白吧？所以说也没这帮人也喊我，但是至少说明是外盘来了，是真有资金来，这是真有人买，就这两根是真有人买的。所以我说到这儿，你能不能明白？大家打个单，我说到这儿，你能不能明白？
	OK就是说如果说在这个位置，无论是世界局势还是中国经济的基本面的强硬支撑，或者这会儿来一个领导表个态，我们要怎么样。然后龙队一配合说今天只要券商板块能能拉涨停，那就板儿逼确认这就是一个底部，就未来波段底部。但是没有，也是感觉大家是你看这盘中拉到这儿就又下来，感觉也是含糊。但是你含糊说大资金来讲的话，你敢在这儿不买吗？说已经两根反弹起来了，说这要37994就是底，你他妈不买，你就上去买是吗？就会像当时在这儿很多大资金4月7号没买，那你就到你就到这儿去追了，你就从3600去追了。
	所以对于今天来讲说实际上整个市场有增量资金来。但是这个增量资金不是或者说有可能大概率不是垄断，明白这意思吧？也就是说龙队通过前几次的这种实力的肌肉的这种肌肉秀，他现在已经可以靠意念去给这个市场带来影响力了。
	我不知道各位能明白意思，就是说在这位置所有人都说龙队要来了，然后再配合美股，当天是高开高走，最后还收平了，等于说第二天大家默认龙队来了，就是如来，就真的是如来。所以大家买买买着买着众人拾柴火柴火焰高就就可以买起来了。就靠这一把龙队是靠一眼神，我跟你讲就这个两根反弹是绝对是以眼神的交流。
	为什么呢？
	是因为龙队现在对他来讲不需要再买太多筹码了。因为人家正儿八经的从4月7号这一路都是人买起来的，一直到3600。就人家从这儿人家一路这么买起来的，3600人对于龙哥来讲，人要做的是高抛，然后把钱空出来，为以后的危险做准备。所以你会看到这两件事，石油在回调，对不对？因为石油这个板块本身就是波动率很低的板块。那对他来讲，如果有三根、两根三根涨停，那对于小盘来讲，就他妈相当于把百分之五六十翻番或者那种感觉了。所以很多他龙队就会在市场觉得还行的时候，在这些板块人家先把筹码卖出来，先把筹码卖出来，人要兑现，拿着筹码以后到时候再说。比如龙买什么板块，这没有人知道，人家是浦买人，要买的话就整个A500A1000。
	比如什么意思？
	比如在这个操比如在这个位置，当天在这儿一路之下来，是不是到尾盘莫名其妙，尾盘你看都没怎么放量，你看这个尾盘都没怎么放量，但是居然从3794收到38143813，这怎么怎么就能瘦成这样了？
	髋肌。
	所以他现在对于龙你们要记住一点，就是说龙队现在在整个的市场里边，他已经不需要再买什么东西了，已经他妈买很久。他现在他要做的是一个对整个指数的调控。但我说话不一定对，只是我个人理解。所以你不要猜龙队买什么了，你要感受的是这个市场到底听谁的。能不能明白这意思？就比如说在这个位置上，当天大家尾盘特别恐慌，因为3800 1破，按道理来讲应该整个市场就破了。很多人在3800的位置设止损，很多机构8就他妈全破了，应该是屁滚尿流的。但是为什么恰恰破了3800以后，非但没有屁滚尿流，反而还也没怎么放量，稍微就收回来，说明***他就是完全通这个手，完全在这里边真的翻云覆雨，人想去哪儿。
	所以那你。
	就可以把它理解为龙对控制的是节奏而不是板块。你说人家都是在不断的与时俱进的，人家的手法，比如说15年来的时候，他只能强买，这整个背着趋势强强买，人家不叫操纵股市，人家连续价位成交，而且人家是也没有在哪个板块里边，人是市场合力。
	所以现在。
	你们一定要意识到一点，就是说其实从这儿从这个位置开始，包括这个位置开始，它采用的手法已经不是说我要弄哪个板块怎么样了。不是，而是对大盘估值的管理，大盘这就是高手，大盘估值的管理。所以其实从盘面观察来看，其实在这个就这两个他没出手，他只是在这个位置，他只在这个位置完成了非常好的市场这个定海神针的作用。没听懂就不用懂，跟盘面做就行了。
	所以大家要对这个理解就在于说在现阶段你们不要说龙龙在哪？龙在哪无形，你见过龙吗？人家为什么叫龙？对你见过龙吗？是吧？
	你见过。
	龙吗？
	没。
	见过？是不是没见过，反正我见过乃龙。但是咱说人家龙队人不是奶龙队，人正正儿八经的龙队，无处不在，但你又看不见，这叫龙队，明不明白？所以一定要有这个意识，因为盘面这两天我也在观察，包括看他的整个中央汇金的重仓，什么人没动。一个。
	眼神一个眼神。
	的交流。
	牛逼。
	就比如你们心中每个人心中是不是都有一个黑白名单，说话哪些你能说，哪些你不能说，都在你心中没人管你，对吧？没人说你他妈这话不能说，你敢说吗？无心。
	如来。
	如来，所以说目前来讲，在这个位置你要理解说缩量不重要，你就关键看有没有增量资金，以及这个增量资金能否延续，能否延续。所以说咱们这能否延续，所以咱们先把大盘整明白，说在这个位置性质是反弹的性质，性质是反弹的性质。那么这个反弹真不真实？真实，那么后面怎么走？走一步看一步，那么怎么走一步看一步呢？这就要把咱们家的绝学数专数砖因为没有人能够判断短期就一定怎么样，怎么走，太难了。而通过这一次的下杀，也印证再次印证绝大部分人，甚至92% 99人根本就做不了拿住不动就做不了长线。别闹。
	那就踏踏实实。
	把手做紧。因为比如你们当时从这个位置下来的票，你这个在上上周说的时候你没走你这个位置你没走。那么你们现在很多票实际上反弹了两天，其实还是弱。那么你会发现资金还在还是。
	在强子里边来，对不对？
	咱们这周就上周日和上周三，我教大家怎么去弱留强。比如你看今天盘面就非常明显，对吧？荆轲咱们上周三咱们自己旅，对吧？说捋，周日周三我忘了说捋到这儿，捋到周日的周五的时候，你的仓里最后就剩三个了，对吧？就剩三个了，那一个是荆轲，白线不破，那就起来了，对吧？
	说一个是兰兰，对不对？兰兰周一破两单一块半，那之前在这都破，你把这个位置最低价，你也可以设个止损，或者你这浮盈比较多，打黄线没打黄线，全场横向又起来了，对吧？还有一个是有有这个勇勇吗？我不知道，你看当时周五在这儿，说仓里还得留着这个，那么周一下来了，下来它最低点设止损，破黄线忍一个最低点设止损对吧？因为它之前都是破黄线，破黄线破防线，这没没有没有没有再跌破，这破黄线这儿破黄线没有再跌破起来，忍一天叭叭两个人回来强跟弱对吧？所以说在咱们之前说讲那个讲到咱们上周日二楼给的策略是什么？首先一楼说的是在这个位置，这个位置你这被套路一路下来，你要是之前不早走在这个位置，你千万不要在。
	相对低位。
	的筹码给丢掉。而你要怎么样呢？说未来伴随着反弹，你要低位换第一位筹码。低位筹码割掉之后，比如你看有些人在这个位置把第一位筹码割掉之后，咣咣两根你就很烦躁，为什么？因为洗的就是你，你现在出来，你在这辈子你有钱有用吗？说你在这位置两根儿起来了，你有钱，咱们先说套住的那个，没用，你也不敢赌这位置，**是个是个未来的一个底部，还是还会在2430，你也不知道，因为你不知道明天**穿的什么，没准兵不厌诈，海军陆战队就开打了，你不知道，所以说咱们讲第一位筹码，第一位筹码换第一位筹码。
	意思就是说你在这个位置，如果反弹比较强，重新你的个股回到了黄线之上，有可能它就是强的票，你就暂时就不要动，说如果说它反弹特别弱，说这两天反弹了，大盘反弹到这儿了，说你看前面就阿阿科都要回到已经回到前高的位置了。然后你这个你还在这儿，你还在这儿也不要慌啊不要慌，说反弹两天，这种票就是最弱的吗？不是你要观察，你要观察一方面强者恒强，就比如说阿珂，这个兰兰，对吧？那个永福还有煤炭什么的，我忘了，就是包括永兴对吧，包括永兴你看，当时这个周五在这儿，咱们一起过的票，对吧？咱们一起过说哪些叫强，哪些叫弱。咱们扒拉完以后扒了十多个，最后有有大概4333334个，四五个。
	其中有这个对吧？你看回来了。
	所以这就是下回你们再遇到这种情况的时候，去弱留强，自然淘汰，自然反弹。能明白这意思吧？所以除了这两个礼拜非常重要，就在于很多东西你们都没有见过。那么咱们都是与时俱进的去带着大家咱们一起经历这玩意儿。
	那么去我留强，下次你再遇到这玩意儿，说你其他的票早就跌破，环境都崩了，你他妈别着急卖这玩意儿，别着急卖，说会不会补跌。会，比如你看兰兰周一有一补贴，那一根你前面也有浮盈，忍一根那不就又回来了，回来之后再说回来的，对不对？但是你要说咱说实话，你说你要这玩意儿，你在上周最难受的时候你给割了，你把它割了，然后你又非要去补补仓。这玩意儿你要非要在这补个仓，那你不就做反了吗？所以说去弱留强很很重要。
	比如说我我我讲到这儿，有些人下次就说了，Z哥说了去弱留强，下回再大盘跌破楼，我专门我就留着白线以上的，我把下面卖了，我再追一个白线以上的。别，这边没有百分百，不是说他下回一定最好，或者你留了。这是咱们留了四个，正好四个都都回来了。那没准你留五个，那么就有俩就不回来，明白这意思吗？但是我们要追求的是一个大概率，就是大概率他回来说什么主力，咱们再回来大家就大概率。
	所以说我就我是不是上礼拜我就在讲，我说为什么我的仓里或者我跟踪的票，为什么就都是你们感觉怎么一直在在涨。所以说你看拿这礼拜的反弹来讲，这个叫什么什么那个那个什么来着，叫什么幸存者偏差吗？完全这他妈纯技术科学，**艺术与科学，这他妈这人没跌破，交易策略就是这个策略，对吧？
	那永兴材料黄金这卡住顶住了就起来了。然后你说***是说比如说说这脑筋死了，说这礼拜你看你就专门挑荆轲是吧？你就专门挑永永永兴，然后专门挑永福。不是，这是市场自然就留下来了。而怎么留下来？是咱们周日的时候，咱们去带着大家说是去了就留这些。咱们早就提前说好了，那正好市场走了，就是这样大概率对吧？
	所以说这边。
	说有没有失败的那肯定有，那至少比如咱们留了五个，至少目前翻这四个，还有煤炭什么煤炭的我忘了，至少这四个都回来了。但是你看正儿正儿八经说在底下的，一直在白线环境下一直空头趋势的，这种空头趋势的都不行，对吧？
	比如你看这个有人说瑞达。
	这两天加起来总共跌了5%，有什么问题吗？再说今天跌破黄线了，忍一根儿，明天收盘跌破这儿下来，你就走，对吧，按照纪律做，或者你就说不行，**，*怕他来根大的卖，没关系。你想你这根儿走了，你在哪儿买的？你在这个第一位置，哪儿有第一吗？比如你在这位置买的，你现在可能今天一天，你现在有点难受，你觉得吧？大概亏了33到5个点，你这赚了多少了？这些你都赚多少了，这都你都都赚多少了，玩儿的是概率。
	而还有华阳是吗？华阳怎么样不知道，华阳磨蹭到这儿了，对吧？那你直接跌，走，不纠结，完全不纠结，走不纠结。但是比如说你看华阳到这儿的时候，不是翻红专了，那开始数砖，说红砖后面接绿砖，明天走红砖后面再加红砖8打上来了。
	没准儿那就。
	留着的对吧？非常简单。所以说这就是你从概率上来讲，至少咱们周日咱们说咱们来大家一起看一下哪个是强哪个是弱。咱们这么捋完之后，带大家亲身体验一下什么叫去弱留强。
	就是说当市场出现风险的时候，你玩的不是恐慌的一次性全清空，说全清空行不行？没问题，完全没问题，可以全清空。但是那你要就要接受说市场反弹时候，你没有更好买点的时候，你哪买回来，对吧？比如你看你这玩意儿你怎么买回来，你怎么能买回来，你恰恰是在一个市场最恐慌的同时，也没有你这玩意没有走坏人，大哥没有走坏。大哥在你给人卖了，卖了之后人家起来了，你买不回来很难受的。但是比如像这些玩意儿早就走坏了，早就义无反顾的往下走了，你就应该拍掉。拍照之后，说实话你。
	他妈想什么时候买回来。
	所以说这把大家应该都会去弱留强了。这块有什么问题吗？比如你这哥们儿发一长弹幕说黄线位置是到底一根两根之间，我说了无数次了，你要做的手紧，没有什么利润。第二的话，你跌破就卖可以，但是你卖完之后，你不要说第二天就拉回来了，你又骂不要脸。就是说在黄线位置不是市场里面五千多个票，所有都是一跌破黄线就往下屁滚尿流。不是，但是你要遇到一只，你不就完蛋了吗？青蛙赛赛迪迪敏儿，对不对？
	所以这块你不要说你一定追着我说这个到底一还是二，没有一二都行，能听懂吧？这句话能听懂吧，就是一二都行。你等杀破一根麦也可以，一根完了以后，比如说你看瑞达今天跌破了，是不是今天跌破了，你把它的整一个原则是最低点25设一个止损，明天收盘没有跌破，那就不卖。
	说你一定要问我说这个一根儿还是两根儿，没有无所谓。但是如果他要往下一路ping的话，你要么输一根儿，要么在这位置输两根，完全服完全就看你自己的内心的一个风险偏好了，没有说百分百的对吧？比如说我告诉你，你就忍一根儿，你就忍一根儿，崩人收回来了对吧？你看这个我说你就忍一根？理科生特别学习特别好，理科生跟我较较劲，你看这个，你看黄线是58.42块，收盘价是500.22块，跌破了我走了，我做的对对不对？对，没问题。然后第二天拉回来说那个就是你你让我走的，你你你说对。就这玩意儿在，但是这个观点不是顶就是底，所以这个位置就是要有些余量。
	那么这个。
	余量就取决于你自己内心了。因为为什么？因为人家主力或者机构洗的就是你。
	这样的对手盘。
	明白这意思吗？所以为什么这辈子有时候一根，有时候两根儿，信的人多，一根儿就起来了。不信你跟着你说，我要跟你俩死磕，我给你扛那人，这个你一把就下来。
	这么喜欢黑理科生的，***这表扬理科生的好吗？我理科差，我一直说的你们理科的好学生，你们理科物理数学都比我好。我一直就是一就是因为你们学习太好了。兄弟，因为你想学习好的人，咱们从小高考考试学习好人是什么？你怎么样考分高？就是每道题都有一个答案，你把答案答对了对吧？但是大富翁股票市场恰恰不是这种线不是这种线性思维，而是混沌思维，你不是。
	一就定。
	一定怎么样。所以说在这个位置来讲，你不要追着我问，我说这个你就告诉我一答案，到底是一根还是两根？一根两根真的都可以，真的没有一定之规。说比如说你说你等等一根，说比如你看你在这边等着说，第二天八下下来一根认走还是走，说下单完之后，第二天八一个反包回来。那很有可能这市场不可能我说什么就是什么，或者你一定认为什么就是什么。不是市场是全国他妈2.5亿人在玩儿这个市场所以说在整个的里边儿，至少大家所有人，因为讲太复杂了，直接说明天梭哪个是吧？**以前说说哪个来着，说什么来的。
	我以前说。
	说你家楼底下那什么来着，我忘了，**这。对对对，说你家大棒骨去，你家楼底下有没有大棒骨，有没有羊蝎子馆，说大棒骨去。所以这个去弱留强，咱们通过这个反弹，你现在知道了，那等于说你看比如这个回回回回到这儿了，说去了留香之后怎么办呢？这哥们儿看你了赚没赚钱，赚钱那看你你想怎么做吧，对吧？你很多人操荆轲他妈都赚了60%，阿轲赚了6% 60，那他那就别问我了，对吧？那走的依据很简单，教没教专精读对吧？矫正都是123，再竖一根？把钱揣兜里。
	对吧？
	或者你浮盈多的话，你看你就放飞少点儿，你浮盈少，你就把一把就卖了，对不对？非常简单起来的票，不要问我怎么操作。比如这也是你看你数永兴几根了，1233根了，再等一个对吧？就非常简单，真的非常简单。
	千万不要一就是我我老跟你们说，我相信你们很多人一定是绝大分。现在2.5万人，一定是2.499都是能理解。我的意思就是说千万千万别较劲。无论是跟盘面、跟市场、跟人、跟管理层，还是跟我跟任何人，你没必要较劲。因为我们永远追求的是一个大数，对吧？就比如咱们说发了，那比如说刚才说留了六个，周日咱们去做留洋留了六个，那至少四个起来了，然后只剩一个华阳跟那个瑞瑞瑞。Rita没有起来，rita只是今天刚跌破一根黄线，又下面没有，没准儿明天就回来了。
	不知道那六进四可以了？你要是一把一直满仓拿着铝业对吧？拿着江铜，然后再再拿一个信邦，就是一类似的这种。你再拿一个赛赛，你他妈你你你别说六进四了，***哥们儿你一百进零。所以说我们永远玩的是一个概率，而是一个大概率的事情。就不管任何人你在哪听到的所有的票，任何人再看好。但除非是川子看好的，如果川子看好哪个，那你你你要你要能够能能能跟他儿子一样，提前15分钟把它开着也行。
	但是我没这个能力，也没这个水平，所以就再次要跟大家说活跃市值，活跃市值翻空之后只卖不买，去弱留强这八个字。希望大家麻烦大家动动手打出来。通过这一把是不是完全明白什么叫只买不买。
	去弱留强了。
	只卖不买屈辱刘强自然的把你仓位淘汰到剩这个生这种情况说。
	然后再补充一句说。
	如果你一定要买书，完美图形干错也要干，用你的能承受起的风险的仓位去论。对，非常好啊，你们一定要记住。就像当时咱家有一哥们儿提醒我，好像是Z那哥指定少爷，好好像是那哥们儿跟我说他看回放，不是，他好像是谁来的，地球人好相处。不是，忘谁谁跟我说来着，咱们当时聊过说2026年，2026年他正好看到回放，看那啥2026年再来一次这个玩意儿，说再因为川普，因为美国再来一次这个玩意儿，大家要干嘛？说满屏打的是一个班，我我反正我我我我记不清了。说满屏打的是斑，那这回不是班，而是骂，对吧？而是黑。
	所以说之前都说了，都聊过，但是都得遇到事儿，慢慢的遇到事儿，遇到事儿才能理解，所以我我我完全理解现在所有人的心态跟处境。所以说咱们接着说回来说去弱留强。那就比如说你看你手里如果拿的是这个玩意儿，说你在这个位置，这两根出来以后，你要么这根走，要么这根走，或者不走，或者这根走打回来，你这个东西不用担心。他从今开始的时候。
	他总得先打回黄线，打回白线。
	这是我刚才先讲一下只卖不买，去弱留强。然后下面我再讲一个当前的心态，上证指数咱家在这个位置的时候，就在上周五的时候，也是很多人心态最崩的那一天。但是也有，咱们把它弄一半一半。好吧，一半人在前一周听话了，这一礼拜就全走了，或者走一半，或者是减仓了。跌破黄黄线之后，没有赶上这一波加速，你现在是清仓。
	或者空仓。
	的那我说了咱家没有抄底策略。那么在空头区间的话，比如把这两根当反弹来看的话，你可能有点儿着急。也就是说在周五的时候空仓清仓下来的。
	是ZGNB。
	然后周一咱们在家中的时候也是ZGNB，但是光光两根起来了，然后没有操作，也没有花小花小小台费的。又觉得**磊哥**，觉得我没抄上第一。但是在上礼拜每一听话，每一走的满仓一把下来的周五的时候是这个**，到周一的时候更是这个**。然后两根88起来了。
	说还是。
	慢牛Z金币了，或者不行，还是这个**。为什么？因为还远远没有解套，所以这就是市场的心态。但是所以我要我想问大家一个问题，对，反正横竖都是我，对不起，就特别奇怪。
	特别奇怪。
	就是黄金涨涨到1000了，也是我的问题过来喷我，莫名其妙，我不懂黄金涨1000跟我有什么关系。来来你看但是我要说，比如你们想一想，此时此刻，你这是一把被套住的，还没有解套的，一把拿着这儿没有遵守纪律守一波的，结果一把到这儿了，现在两天反弹。你现在的整个的账户。
	的情况。
	如果让你跟另外一半人换，就是当时在这个位置全走了，那么现在这个位置是清仓或者空仓，你换不换？咱们这测试一下，就是你满仓从这一把就跌下来了，然后现在反弹了两天。你现在账户情况和现在空仓，当时这儿走了，现在就是空仓，手里拿着钱准备要入场了，你换不换？
	大概差不多。
