	现在声音行吗？有声音了吗？有了吗？你聋了什么意思？现在有声音了吗？
	然后微博上有一个人有有微博上有一个就是在最新的微博下面，一哥们儿特别好，我表扬你。你的那个微信名字我我我记不清了。有一哥们儿问什么-2.3全清了，结果昨天反弹他的心态崩了是吧？那你今天是不是心态又好一点，对吧？那就是散户，就是老窖。
	但是有一哥们儿给你回复，那哥们儿回的特别好。他说当时详细讲过，即使出现负二三的时候，就跟上回一样，在后面有一个延续，净值依然有可能创新高。而在这个过程中你要做的是什么？是只卖不买，就是个股有些没有走完，个股没有走完就比如我周日给你们专门上二楼分析了半个小时，我说。
	这个颜值。
	要对颜值变现。美女都是你看到了是吧？对，那哥们儿特别好，你们帮我给他点个赞。就是颜值变现。如果颜值没有变现，没有S1，那就是时间还没有到，它终究要变现的。对，没错。
	2.3之后意味着市场至少上一个强波段的做多，记住叫做多波段，暂时告一个段落。但是这个市场里面有五千多个票，这五千多个票有些主力他也不是第一时间当时起涨点8拳进来的，他也是有些人是在前两周分批建的仓，他没走完，或者说他走的是一个更长线的东西，霍普是吧？对，今天你们有人后来给我发霍普，霍普今天创新高，很开心对不对？就是说个股的走势，为什么我上个波段我说只卖不买，就在于你靠纯市场自然给你走下来的一个走势，慢慢的把仓位降下来，完全跟市场同行。否则，比如说你要真出现-2 38. 
	你全卖了。
	后面给你折腾一下，你心态是崩的，你受不了的。荆轲刺秦是吧？是都还可以，就是个股走势，个股走势记住，除非是大盘有一天真正的大见顶，即使像15年大见顶，07年大见顶，后面的一个月还有很多个股在反弹。所以说这个白点成因，所以我今天其实特别重要。
	我今天本来不是想讲这个话题，就是当前环境下最好的交易策略。我今天本来不想讲这个话题，我想把这个话题今儿这期话题实际上是我要放在春节加餐的重要的集训的三节课里边去讲。我为什么要把这个给它往前移呢？就在于我觉得你们很多人最近为什么乱了呢？我我我非常奇怪，就为什么不好好，一月份其实大家节奏都特别好，然后咱们说活跃市值，下来这块随着他下来一定要小心，有等下一波一定是回执着那个死叉多以后起来，咱们周日还在讲，二楼也在讲，一楼也在讲，这不没问题。你这个对，这就是就是调整中，咱还去数记着，咱还数活跃市值也12345，正好算完，就是这礼拜对吧？
	所以就是这个。
	我我我不知道你们很多人现在就现在面包，而且刚才那那哥们儿说白点长音。嘿，那不这两年都是白点长音吗？对吧？那每次不都是白点长音吗？上次九月份就十一之后不也是百点长阴吗？那什么时候给你百点长阴，接着百点长阴，接着再来百点长阴了？所以咱们就是经常所以我们我理解各位，我非常理，为什么？
	因为还是经验，一个是经验，因为毕竟很多人刚做了半年一年，或者刚做了两年，没见过没经历过。姥姥需要有一个人坐着陪伴，一直给你给给给你加强信心，给你加强信心。但是咱家这个悟性比较高的朋友，其实是我我主要怕我天天给你这么陪伴。有些人天赋高的或者悟性高的听烦了，**真真贫没完没了了，就车轱辘话来回说，就是我主要怕招烦，明白这意思吗？刚做半个月，半个月做，那别说，坐坐坐，那别肉，好吧，所以咱们接着说，就是说百点长阴。
	这不正是。
	做了好几道好几次这种题了。龙队现在洗盘，他不就用这方法吗？要不然下不走，对吧？下不走。所以说如果跟你讲，这把如果不是白点长音，那就会很麻烦，你知道吗？我跟你们讲，其实之前都讲过，所以老朋友你们别嫌烦，我会不断的重复，重复到你们反倒记住了为止。
	就是说百点长阴的时候，机构是出不去货的，货的就是大盘，记住大盘的百点长阴，机构是出不去货的。比如说龙队在之前4190位置往下一天盖了三波，那天是百点长阴吗？然后上周五给你点杀，上上周五给你点杀了好几次，那天是百点长阴吗？白点成因是散户能走一边，在那一害怕一恐慌崩就敲走了。百点长银啥意思？
	就是大盘。
	目前点位跌2.5%，不就是100点吗？大盘跌100点所以说就是真正机构要出货的，它是扛着指数出的。而如果在一个相对高的位置，当天指数空机从早晨一开始一路之这么卖下来。谁就他们这帮机构谁都走不了，指你们能走，害怕了，一恐无惧，把一扁担敲进了。但是你一把一扁担敲进，谁在底下接呢？
	所以说这个。
	没关系，我会反复说的。那个阴线什么意思？哥们，咱是22，咱这是二楼吗？别闹了啊不要打岔，不要打岔，踏踏实实。我今天是跑了10公里，踢了一下午球，又走了一个三公里的十一九，就坡度11，然后九岁。你看我脸红扑扑的，被晒的，玩梗了是吗？就被被晒了，**，明天估计起来就黑了，就变成了巧克力了。
	所以这个踏踏实实好吧，我怀孕了，踏踏实实，怀孕该找谁找谁去，行不行？该找谁找找谁，想想那一夜你不通那么拒绝我，就你该找谁找谁啊。然后刚进直播间的朋友别着急。那什么就回10负负-3了，怎么说那就完了。这做多不能暂时结束，对吧？那后面就两种情况，一个是直接啪一把就屁滚尿流下来了，对吧？那一种情况是M活跃时的macd在零轴上面。那他踏踏实实等等等。
	第二波，所以不要不要着急，我周一没有播说明问题不大。特别是比如说咱们大家现在手里的这整个曼城阵容，或者是咱们每周关注的这些板块，没什么问题。就是我没发现什么问题，先把你们最关心的聊聊一下，然后一会儿念念SC这个我看看。
	比如你看这个是今天你看厚朴，你们很多人有，对吧？一直从上一波就拿下来的这不今天创新高吗？妈10.44，**，莫名其妙，就是莫名其妙。我跟你讲，一个这个煤炭净控是吧，昨天第一莫名其妙。然后华阳你看5.88整整个整个煤炭的etf今天是接近于涨停9%，对吧？
	然后宁德就不说了，宁德什么可是我这玩意儿就无所谓，因为底下拿着浮盈太高了，在这个位置进的，当时在这个区域进的，走走跌破黄线这儿走了就走了，走了你后面也不痛苦，然后荆轲刺秦对吧，然后青花就白白酒，这不就回来了吗？这不又回到这个位置，对吧？比如说别人跌的时候，把你把那个之前的就损失净值给你补起来了。这就是这上面就是我说的确定性，就是能今天能收多少钱，取决于这个位置，而不属于你上面。然后胜坨比如到这位置就是你们萌萌那天给我发一微信，就是我妹给我发微信，就特别代表散户。那天黄金大跌的时候，我看一下，黄金大跌，然后他说哥我光了，说这个说我。
	要是上。
	礼拜全卖了就好了。萌萌你们知道吧？我妹万万若萌，我妹老粉都知道。然后我就说如果咱们看一个这个。你看这个萌萌是在是在在这一天在这一天，对Z妹给我发了发的消息说说说哥我要是上礼拜全卖了，那那我我我就封神了。然后我说没有人能够那么精确的能够在那个位置卖，而且就这一路是央行买起来的，或者说是或者或者黄金买下，或者央行买，就这是一个国家性的行为，没有人黄金是没有人可以控盘的，就是大家的合力。
	然后我说你不是三四百买的吗？对吧？你看你，他是这儿买的，他是四百这开始买的。他是为什么？他是400买了以后，他大概在八百多卖了一波，然后后面这又接回来了，七百多又接回来了。
	我买的时候，我们俩一一起，我跟他说，他说哥还能买吗？我说行，他说他要买回来，我七百多斤那会儿。对吧？然后七百多8 100到了1258，然后就在这儿跌到1000，我说一千，你四百的，你400到1000位置，你即使在那一天走了，你不依然是封神了吗？所以这就是人性人性。然后没完没完，他后面问我一堆，我就没当晚我生气我没有回我这他妈**对吧？
	然后你看今儿给我发一个说哥我是不是那天有点失态了，我那时候那天有点不淡定了，我还我到现在还没回，我到现在还没回，说哥这是不是就是人性，我不回了，就是泸州老窖，即使我妹我也不惯着。你看你这个说那个哥我想了一下，我觉得我的问题是没有预期，我就该不卖不卖，该卖卖也不会心理波动。就是开始反省，觉得那天有点失态了，有点灭绝失态。这就是人性，这就是人性，就到这位置了，他就觉得他行了，在这位置就觉得不行了，到这位置觉得自己一剖析，然后到这位置觉得自己又又又还还行该卖，又又觉得自己遵守纪律了。但是他是在这个位置，在这个位置300 400的这块他买的，所以你这些就是明白吗？
	比如说你看，刚才有有哥们儿说同跌的不太行了，对吧？同我上礼拜专门大直播跟2楼我跟大家专门演示，我说美女要变现，对吧？颜值变现姜彤很明显没有S1。你们也定了一个月盘，是我也盯了一个月，但是我没叫，对不对？我没叫。你们是不是完全不知道我在七百多买的实物黄金，对吧？你看咱们都讲过，然后说跌到这儿，今天在这位置58.96块58.96块对应的是在这个位置，相当于即使在上周三的时候还在这个位置待过，对吧？那么OK50。

（内容由AI生成）
