	我这儿的网线有点问题，现在恢复了吗？我我刚才应该是现在恢复。
	所以就是说你的卖点对应的你的买点，就跟咱们比如这波很多朋友赛赛在高位那个滴滴没有走，为什么？因为你在底下横盘区间拿的你的成本非常低，起来站起来35%了，你第一的位置完了以后还有30%你不走是可以的，没有问题。但是你要是中间任何一个位置进的欧，那你就得走了。所以但是你说咱就说这个位置黄线特别好的位置，这进来你就在这位置不走，没问题，先看白再看黄，那等着来又来一个，**慌吗？很慌，非常慌，**要打到我成本区了，所以你要这根儿进来，你滴滴不走。
	你这根儿就给你埋了。
	然后接着看什么？接着看黄线的支撑了，目前有没有去，目前来看白线有点无序了，但还是整体是在有序可控范围之内。来看在这儿看不着东西对吧？在碗里下面这根还没有宣告他结束。来，又又来了，又来又来。
	又。
	他好要考验黄线了，看看你到底有没有去，大哥在不在，**，来了有序，吓哭了。对，31回到20，就跟米尔从61到351样，哭了，吓哭了，压着卖都一路压着卖下来了。OK所以明天就很重要了，对吧？咱说今天，然后明天就很重要了，明天就要考验大哥线了，就是支撑线有序，你得有序，因为这都是有序。没续的话就直接跌破了，跌破黄线了，明白吧？没续就跌破了，跌破黄线以后有反弹，黄线变压制就熄火了，它还在碗里，说明还有据，说你这儿拿的到这儿你很难受，利润少了一半那很难，那很正常。
	想不想挣大钱对不对？想不想挣大钱？那来但咱就说就算是我的从这到这儿，这两个这大提琴出来以后，这儿一放量，我这可能也得走。但我前面我会放飞的，我只是说咱们就这个是咱来当案例，咱就一定要有特殊性，就像这个案例的代表性。你看来看黄线，接着看接着看，接着看。
	**表态一下，有序。那明天如果要下到黄线之下，那再看下一天黄线是不是压制。如果是走，那你这把说一半利润没拿到，那就是没拿到很正常。你要按这方法，你他妈航天发展能拿三倍，对不对？来现在目前有有有序，来一根右侧有没有趣有趣有没有序有序有没有序？
	白线也有序了呦，**可以白线黄线都有序，有很可以有二意了，右侧白线又有序了，像不像这儿，像不像这儿一直在测试白线的有没有序？右侧下来了，注意还是又毁了，黄线有没有序？右侧白线又又有序，又在这儿，你看这这位置，你看这位置，右侧白线又侧着白线有序，这票干咱们就随便划拉了，咱们闭眼选的。然后呦**轻描淡写的一根小十字星站上了白线，等于说下面有白线跟黄线双双有序的支撑，**发财，又来根有序。
	不错。
	又下来压制完了，小鹿乱撞完了，下面你就想**要看黄黄线了，这就是游戏的好玩的地方，要看黄线了呦**白线继续压制，有点弱，有点弱，但是注意两个缩量，有点弱。右侧又上去了，又站到白线上，又有两根线支撑，可以有点意思。**一根给你盖在这儿，黄线直接考验，黄线跌了9.4，完了疯了，那哥救我是吧？完了。
	所以就要看下一个，对吧？你们都很熟悉了，对不对？咱就这古巴开骂了是吧，完了，那那臭卖鞋的完了，上麦了。折磨对，折磨太磨叽了，太磨叽，磨叽就不错，没有问题。那你看事后来看，你是不是滴滴走了，你哪怕这儿买的滴滴走了也是可以的，你后面就不墨迹了是吧？所以这东西没有标准答案，就完全取决于你自己，完全取决于你自己到底是是是想挣什么钱。
	来，明天不能跌破，明天跌破后天就悬了。呦**有序，**一阳穿两线，又又开始又又开开心了是吧？又开始抢鼠标，涨停，这个涨停，你看双线都有序，**跳空涨停，又又涨停了，**起飞，不是我的风鸟不宰了是吧？起飞了，**牛逼。**，又来一个又起来了，对吧？又来了。一般这种情况下主力会。
	做双头。
	**，又来个放量滞涨。现在依然是有序的情况下。我相信你这儿买的，拿到这儿没走的，给你个这玩意儿，你肯定就要减仓了。事实证明该减也减点，你拿住不动也可以哟。还来还有3.55是吧？那就来又有点变弱了，适合滴滴对吧？有点像滴滴又来一个，**又涨停，**又又涨停了，我这就调控要涨停，等S1，等S1，**来个这个次高点跌停，说实话这根就有点难看了，你看这个跌停才这么点量，这个跌停这么大量。
	现在就两种，一个是你要么你起来这儿放飞过了，要不然就直接出现你要观察第二天是不是滴滴又低了，但是白线没跌破，又没有标准的，又没有标准意义上的S1，同时白线也没跌破，那么又回到这一轮了，你要不要再来一轮对吧？你要不要再来一轮取决于你自己了。但是一般如果要是我的话，你觉得你这么一看，一般这种这儿加过速了，这已经这么加速了，一般很少有这么加速。怎么反应？这么多年在在突破的，一般这儿加速V到这儿白线再起来就接着连续涨停上去，就跌停下来，涨停上去，一般这种图形就基本就到头了。咱就说这种图，这种图就到头了，后面再起来也他妈不要了。这块儿你就要么滴滴走，要么破白线走，要么在这块已经减过仓，这减过仓你就最后等破白线走就行。
	最后的最后就是破黄线走。
	然后你看又下来一个，下来点25%，然后有没有序还是有序，这块还是有有序有序有序有序对吧？下来以后就是找黄线，找黄线，你看找黄线黄找黄线又找黄线对吧，找黄线，黄线又起来了对吧，反复的折腾你又起来了。它还依然还是在有序的情况下。所以记住只有在有序的情况下才容易出现涨停板。因为这人为人为操作的，只有在控盘的情况下才会他想他会走出这种极致的这种走法。那么涨停跌停都是极致的走法，跌停也是它，涨停也是它。而这种缩量长阴短柱跌停，那他们就是对他来讲他出不去货。
	又起来了。
	高点连续降低。一般这种图形就是我直接给你们讲什么乘飞机乘那种，我说我觉得这个你们就不要做这种，就不要追这种图。因为也缩量，你看严重缩量，缩量的涨停，就是主力高控就没有必要跟他折腾了，要来一根这个，你看这要注意了，这要注意了，这波反弹的量能就是这么高，结果在这个位置出现了高他这么多音量走人，完美离场点。
	S3对**牛逼。但这边没有S1，如果咱们觉得就这有1S1，这是S2，这是S3就走了。那么目前来看的话，它这个是没有标准意义上的S1。但是从它的拉升的节奏，它直接这波就加速了，加速之后跌停下来，跌停上去，***走了一个这个走一双头下来又再问一下，出现一个这个玩意儿你不能出现那玩意儿你不能出现在任何一个高点位置上，音量大于你之前这一波的阳量，不能出现，摊牌了。对，摊牌了，操不装了，所以后面就无所谓了，后面筹码就松散了。你看在这位置，这位置是不是就就也是有序，又回来了，但是有序越来越弱，你看K线越来越小，有序越来越弱，嘣下来了，下来如果第二天不没有，没有支撑的话，就他妈熄火了。没了就没了你看就没了，直接就后面帮机就不装了，最后的就没了，散户的互相的踩踏没了。所以今天给你们加一小段，一定记住任何的K线。
	比如咱们看下一个，这个也是你那么一打开，比如在这位置做吗？不做对吧？你这一看他们无序，看到了吗？无序你说你是黄线支撑，还是白线支撑，还是黄线压制，白线压你看不出来，无序就不做。你比如在这位置，这也是你要在这位置无序，你黄线你要好好的支撑，你他妈就好好支撑，对吧？
	你黄线要好好支撑，你这儿就别破，你这儿别破，你这儿别老乱来，就这种无序。你一打开你黄线，你黄线是支撑还是压制，这一会儿压制，一会儿就这么上来，你这儿白线也毫无支撑，你这儿两根八，这他妈又两根就直接穿的来穿下来，你又上，你又他妈下来。就叫无序。那么比如像这一段，比如像这种这一段，你看这段起来这没错。
	这么来看有没有序。
	其实这个控盘也不好，而且你看关键是你看这放量的大苗子没没必要，放量大苗子你这也你看这也是假阴真阳，对不对？假阴真阳我要是告诉你，假阴真阳，你就当当阳阳线，看你这儿蹦迪给你盖着了，你这又给你盖着了，所以别咱们千万别瞧，这也是假阴真阳，看到吗？这实际上是一根1.19的阳线，然后你说下来到B一到这儿，你说你这追一把，你就抄一把，你抄不了。所以大家不讲假阴真阳。
	然后因为如果讲完的话，问这个的要远远比那个突破过去的多。然后你看比如这位置到这儿有没有，一般它这儿本身就一般，你看白线老上了下上了下，上了下，本来就就一般。然后你看这位置下来以后，看黄线有没有续，黄线也他妈没续，你这儿压制之后上去了，对吧？那那乱七八糟的，你看你怎么你这不是怎么赚钱，赚不了钱，很难赚钱。你怎么进？你是追这个板还是追这个板，还是往下回调，哪儿有一个B一吗？没有，所以就这种东西你就很难赚钱。散户在你是这么看，你说操这个白线拿住就行了，你拿不住，因为你这是一个涨停。
	这是个跌停。
	对吧？然后这他妈这又是一个冲了5.7又直接杀到负一，然后这又是一个涨停又一个涨停，又一跌停，然后又又是一个一个一个几乎半个跌停开盘就上去，然后这他妈又打到板儿，又他妈要下来，所以就不要做中票消耗太消耗。比如你看老许。这个白线，这个黄线从这儿开始，尤其你要从这开始，就是这起来黄线有序。说下来一天，这天这这天。
	被压制了。
	这天又上来了。OK给一次机会，B一对吧？给一次机会，又好好的沿着白线走了，白线破掉之后找黄线黄线，黄线支撑住又起来了，又下来了。
	通过这个案例大家要知道，就是在这个位置一般往往容易犯错的就是这个位置，一般来讲就是这个位置。比如你看。监控。
	有序。
	白线完了有黄线白线对吧？然后进来以后拿黄线顶着呢，黄线这边这就下来了，下来一根，下来两根，所以这位置该走得走你得认，就这位置你得认，这位置就叫击穿对手盘。你看击穿这根对手盘嘛嘛，你得认破位了，你得认，你要不认的话，忍一根，但忍一根儿，说实话这来个跌停。所以当时在这个位置我跟大家说就没问题，你要自己做的，做的紧点就该走走。然后走完以后你看到这儿，然后起来有序，你要注意这还是有序，但是它是有悲观有序，悲观有序，这都是压制，都是压制，看到了吗？都是压制，一定要坐在上面有支撑的，你看又压制有序。那么通过刚才的案例，你要找村上去说一阳穿两线。
	就有点意思了。
	但是目前来讲就是有序里边的偏悲观，有序肯定有序。黄线压制压了一天、两天、三天，很明显，三天压制还是有序，但是这个有序是不做的对，有序空投。你这个非常好，你帮我完善了理论，这叫有序空头。
	对，是不是有虚空投是吧？黄线下有虚空投，就是你这儿你连你不走，你都他妈也很难熬。到后面我跟你讲，你看有序空投，是吧？标准的有序空投，来了还是有序白线压制，但是黄线变支撑了，看到没有？还是黄线白线都有序，看到了吗？上面压制，下面是支撑，然后来起来了，到白线走到这个位置了，OK你就可以觉得，他这把可能有点缓过来了，有点缓过来了。那么下面你要么已经98了，你要么再等一个B1，黄线之上的B一反正就不要追啊不要追，因为这个毕竟高点连续降低了，不要追来一根这个起来了，那就看着，那就看着。这辈子二十一没有毕业。
	这边只有1比1，-3.8几，这位置有1比1。那么OK你这位置进不进？-3.8几？你要进的话，你一定是为什么我让你们止损设在黄线下面一个点，就是在于在有序，你知道白线有有序吗？跌破马上起来，白线有有序，你知道白线白，但是有序，白线有序。那么下面黄线你要给它预期它是有序的。那么你这位置进来就黄线止损，对吧？
	这边是有序的，黄线止损，那你看这是你们之前那波这儿赚的钱，对吧？逼进来这块有，那下面考验白线，白线破掉看黄线对吧，这是5.79又第一了，能不能缩量？这个是进也行，第二天缩量黄线之上进也可以。比如给一个这个是-0.54能不能进？我觉得可以，我我觉得我觉得没什么，因为你黄线有序，黄线有序，设在黄黄线下面，黄线下面止损吗？有没有趣？不要害怕有序是吧？不要害怕有游戏，**。
	疯了。
	但是有序还是无序？有序无序需要看第二天确认，需要看第二天确认。又来一个熄火走，那就是这儿买的，你就是这儿就是走熄火。对，就是熄火走这儿买的，这儿就走亏了，亏了就亏了，亏了你认得认，就这主力非常坏，得认，吓哭了，绝对吓哭了，对吧？这是一根4.44，这个2.38。然后你是B一是在在这个位置买的，你是16.96块，那么相当于亏了5%，10%仓位亏了百分之得认。
	古巴开骂是吗？我建议说那帮人骂就行了，你们不要跟着骂。做交易很正常，输输转转很正常这不耍流氓。
	然后你看这位置一直**，*看有有序有空有序空投对吧？就是有序空投，一直有序空投，你这不走，你是不是你也难又得难受一个月，对吧？不走又难受一个月，你看还创新低，不走就难受一个月，你得走得认，得认。然后后面。
	就这样了。
	后面就变成这种白线，有有序支撑，有人支撑就行，有人支撑就行，通过这个案例就给大家展示这个有序跟无序。所以为什么你看净控在这个位置，即使它到这儿了，是不是还是在之前的这个区间，它的控盘就不好。所以像这种玩意儿，如果你要买这玩意儿配置的话，你不没有买煤炭ETF不，你没有买华阳的话，你买金控它就是很难受，很难赚钱。比如在你的整个盘里面，你有十个票或者有五个票。其中如果有一个这种票的话，那这个票就是你就很难让你赚钱的。很赚钱你就这走就完了，你就是换别的了，不跟他跟这折腾了，折腾半天。
	同样难道这个也是，你看这个在这都是有序的，这转无序了，爸一根起来B2，一根起来B2对吧？那你B2有没有可能转成有序拉黑名单，不至于这个有些装饰空白好，有些装控板不好，是跟风的。这个起来以后。
	看白线。
	等白线有序，这根看到吗？这根白线一踩，一起来到这儿，跷跷板就起来了。这么这这么急，你看白线有序，大家一起来确认有序，来通过这个记住，刚才讲了两个点，第一个点是有序跟无序，第二个是在这个压制跟支撑，只做支撑线上面的有有序就是有序多头。那么进驻第三个，第三个就是什么时候入场，比如说我问你。咱们探讨这根收盘了，白线有序支撑了，对吧？那你是就这个位置买。还是这个位置买一个11个2，你们打出来在一的位置买还是在二的位置买？你们打出来在一的位置买还是在二的位置买？
	很多人选二对吧？也很多人很少人选一是这样，这是取决于你内心的两种风险偏好。从理论上来讲，一根线无论是我这个线还是你们的均线，一根线有没有是不是具备支撑效果，要等它支撑住的确认。也就是说如果一个线有没有压制效果，要等它压制之后的白线的确认。但是所有事情它不是完全可靠，这就意味着说如果你在这个位置买，有一个你看起来像明显的支撑了，但是你们刚才也看到了那种直接就下沙了，对不对？你们也看到有有下沙的就下穿了。但是如果这票比较强势，就到白线就围上去了。所以你可以这儿进一批，明白吗？2分之1，这比如你一个仓是你100万的，一个仓20万，你这先买十个，到这儿这根线没跌破，确认了再买十个。明白这意思吗？
	就是55% 10两根，就对于均线的买法来讲，就是支撑的关键位置支撑的买法来讲就是分两天买完，分两天买完一样是止损设贷。你不看那白线吗？或者你不看到黄黄线吗？你往上看的多，你就是要看要止损大一点，射黄线对吧？你就是做超短线的，你他妈不承受那么多风险，就看白线，跌破白线就卖，或者跌破今天的最低点的这个14.7块你就卖，懂这意思吗？所以是尾盘买吗？
	不是第二天开盘买。
	咱家所有的交易策略都是开盘买，咱从不尾盘操作，不要尾盘操作。然后等于说目前量，也就是说你这个两天你又买了一个第一时间的，你又买了一个确认后的。那么你这两个亿买完止损的设成白线，短线止损设白线。如果长如果做波段的话。
	止损设在黄线。
	然后那么持有了莫名其妙莫名其妙。所以你看你要是这天买的话，后面跌下来你很难受。你要这天选上来，要这天买你。
	也很难受。追了。
	什么情况可以尾盘买。
	散户不要尾盘买。
	这个就什么情况下都都尽量不要尾盘买，除非你是做什么日日日内的，你天天就不停的啼啼，做那种假T加0，否则不要不要被他买，没有意义，所以就是分开买。如果你要是这天买的话，你就很有可能买买只买了一半，就买不到了。所以比如你要短线，你这两天弄完以后，比如你十万、5万攻击来个6%走了，对吧？盘中达到8%走了，就你就赚这一根，短线就赚一根，你重仓短线就赚一根儿，记住。后面来一根这个长音短柱是吧？那接着走，这就是我说比如你看这位置下来以后，这考验这儿也是要买点，也是买在这儿。
	但是这就是另外一种，就是8万51的另外一种就是说均线交易法。你任何的线均线交易法，就你拿一根线均权叫法。比如这是BBI的话，你觉得BBI也是这么玩法下来啪上去就买。但是这个走的是比较的典型，比较好的，属于比较好了。但是比如结合咱家B一的战法的话，如果B一在这个支撑线的位置上，那就是散着。所以说第第第第三个就是说看一个支撑是否有效，以及看一个压制是否有效。
	一定要等确认。
	一定要等确认，否则你就很有可能就买在一个中间的位置，就很难绕，很难绕。然后。比如你看像这个玩意，比如说你打开这个图。在这个位置中还能够判断它是有有就是有序的多头。在这个位置也可以判断有序多头。但是这个一出来之后，这个后面就很难判断它的很高的控盘的一个有序多头了，就很难看出来了。因为你不能这样，你不能这样特别你看这个就下来有虚空投，有虚空。
	下来直接就加速。
	哥，你刚才有人问这个有人问这个，这很明显，目前来看是比如走成这样来看的话，实际上是无序的，就拿现在来讲是无序的。在这儿是有序的，看了吗？这一系列是有序的，一直到这儿都是有序的，到这儿就结束了。但是你知道这是空头有序，这儿也是有序，都空头有有序，这就无序了，就走成这样就无序了，看到了吗？走成这样就无序了，然后起来也是到这块是企图无序转，有序又崩了，又蹦下来了，又他妈又无序了。所以是不是可以把它理解为说当时在这大哥有进场，大哥想操作一下，结果***龙队给他盖下来了。龙队把整个板块金融的金融金融金融就是非银金融这个给你盖下来了，所以人不玩了，这人只是短期不玩了，人不玩了，人不空了，那你来鼠标给你，就这意思。
	讲完这三点之后补充一点，就这个东西它没有百分百，就是一般整体来讲，比如你看这儿，你一打开这个，说你比如说在这个位置，你一看就是更多的是你看你大概你知道吧？就比如你看为什么这天跌破白线，那天又上到白线之上，这玩意儿很多都是盘手在做盘的时候，比如说这天天还跌破白线，盘手做盘的时候，他是要根据对手盘的情况，他当天的价格在哪个上上上上下游离一些是很正常的。所以说对提升概率，就是说模糊正确。
	对，就是说你更多的是看一个整体。比如你一打开这个线，一打开这个你就知道人为痕迹还是很重的。因为你看这个白线这黄线这？人为痕迹非常重，然后面下来了，下来以后你看黄线压制有虚空头有虚空投起来以后，这儿黄线尤其这儿注意，操这儿注意看白线马上一打一弹有序。下来之后，这儿破了，这儿起来以后，截止到这个位置都是有有序。因为如果说他要是在下面的话，不可能走成这种东西，然后就一直就有序下来，这也是有序的，还在上去，还在白线上有序的。所以说你要把它当成一个图形，所谓图形好看不好看就是这意思。
	你们做的什么非电电芯叫什么来着？我姥姥记不住，什么什么电信来的。
	长飞光纤，我测对我的脑袋，因为确实最近没看盘，所以对这玩意儿没有印象。你看。就是说在这个里边很明显这种图这就叫有序，到这儿都是有序多头。所以说这块你看这块有一个像S一对吧？这位置也是S1，要是我这位置就不做了。但是你就说说这辈子说有没有依据，操有一句也不做，这他妈这太难看了，我肯定不做。要是我肯定不做，这两个一出来肯定不做，短期一定被压制了。
	但是你说还是说你说这位置，你说这儿还是在有序又有序又给个B1。你看这位置十四还差一个格，这就是模模糊的，模糊的正确了。14、十三都有区别吗？其实没什么区别，但如果你要设成13以下，你就选不出来。这边是博傻，这就搏傻。但是有序很有趣，很他妈有序。那你就去选，你要这搏一个有序，一定就是白线就止损了，要不然你往下这空间，**这是102，这是80，有点贵，我下不去手。
	对，没必要给自己上难度，只是说你通过盘一下说有没有去，还是有序的。反正要是我就不干，后面他妈涨飞了我也不干。好，下面你看有没有序在这还是有序的，然后还是有序的，有序站上来了，又测了一下，有序，**这旋转**又测有序，有有，跌下来往上一侧压制了，卖这位置卖，不纠结，这就卖了不纠结。说后面再再起来，再起来是另外一笔交易，不纠结了。所以这种东西还是要小心，就等于说到这儿，你是不是要正常交易，你再等一天，就刚才讲了，你再等一天。如果说你这个10万块钱你买了5万，那第二天你就没了你就赶紧卖，赶紧卖，这5万你们赶紧的卖。
	刚才有人说让我讲优科德不很有趣吗？你就到这儿你就闭着眼睛买，这他妈你们明白了吗？这种第一就闭着眼睛买吗？对吧？我讲完这个是不是你们就明白了，他知其然知其所以然了。这玩意儿有什么可怕的吗？上面一动一动一动缩量又打到黄线这么小的距离，对吧？那闭眼睛干干就完了，干啥的？非常简单。
	对，这根又操两根88满仓是吧？止损就黄线这么一小，就盈亏比非常高的。你论下的，**这可以，这票那么刺激吗？这是十二，是13 4 20。**这可以，这上面这还充了多少？冲离12，那你们这个吃爽了，标准图形吗？太标准了，这跟那谁一样标准了，跟那个乔丹一样，不是乔丹那个。微新生物是吧？跟他一样标准了，在这位置跟他一样标准。
	这儿这也是方正，你看这乔丹B1，这两根B一然后这块儿我跟大家做个补充，做一个非常重要的补充。刚才就还是结合第四点的补充，就是不是说一定要在支撑线的位置比一买，这句话能理解吧？就千万。
	我刚才看完这个乔丹跟刚才那个那个微信之后，我突然想到这个咱们得说全，要不然后面又有人喷说你不是说要支撑线没有我没说过。就是说你如果你能够在支撑线上买，正好你赶上了。如果你知道你赶上来支撑线的人，空白就在支撑线，那就可以。这是碗里也可以，因为总的原则就是你有对对，有下面一根支撑线支着。对他撑着碗里。对，非常好非常好非常好啊。
	非常好，非常好啊。那确认。
	怎么说？所以就串了。确认的玩法是你靠单根K线去玩的，叫确认的玩法你就可以结合，多了一个依据，懂我意思吗？就比如你看这位置到这儿了，这位置B对吧？你这他妈第一了，你跟他确认什么玩意儿？你确认他白线，你没必要确认白线，因为你的依据是B1，明白吗？然后你正好赶上又是B一又又是又是在白线之上，那你无所谓，就多了个依据。
	对，直接买。因为它B1，这在碗里，这是碗里的B1，没毛病。然后你所以一般我跟你们讲，就是一般都止损设在黄线，止损一般在黄线，因为你下面有支撑，你之所以这儿买你即使在白线上面买，也是下面黄线要有支撑。
	最后的一个支撑。
	而且刚才说那个，对，先不说这种玩意儿，就是持股，相当于持股或者未来什么你们考虑加仓，那咱们也不叫加仓，加仓就更更乱了。所以要记住，刚才讲的这个白线黄金就是在这个阶段，就在这个阶段内，那很明显这是一个有序的区间之内，有序区间之内勾大幅值随便买。也就是说你跟着我的意思是说，你在这儿买完之后，跌到这儿你也可以买跌到这儿你也买。不要慌，你唯一的慌的就是黄线，最后一根支撑线变成了压制。有优先级吗？没有优先级，这个东西是非常就它它不可靠，它不是一个一定。因为每一个盘手就像每每一个人是不一样的。咱们这边直播间两万多人，咱们是不一样的，就是每个人都不一样。
	所以人家。
	这就他就爱跌一下就起来，或者他就爱踮一下再跌一下，你这个东西很随机的，没有一个什么统一的，不可能你跟你爸性格都不一样，你们家双胞胎。
	都性格都不一样。
	但是你要找到原理，原理就是在整个有序的情况下，那你知道白线破了肯定找黄线，就跟咱们之前判断过几次大盘的走势划线都比较准，对不对？这个黄线完了肯定找白白线完了肯定找黄线，对吧？黄线起来反弹肯定是白线压着，如果力度大八一阳穿两线，那么就起来了。如果弱的话又跌破白线。所以对十张图基本都是有序的对，因为这是一个原理。
	比如你看你这两天，你说你这买完之后，或者你这儿买完了，害怕不害怕不害怕，有黄线你就起来又站上白线，白线之后就这样，白线之后就定了，白白线有没有序有序就完了，就可以了。下来也是看白线有没有序有序起来了，看到没有对吧？看百姓有没有去，**都不回了，百姓有没有去有序对吧？有没有序有没有序有没有序，有没有序？看黄建了对吧？操不给黄建，**又来了，又来了，看黄线看黄线，看黄线不给又起来了，对吧？
	也就是说一般来讲，如果你能拿到一个长波段的票，你的埋点进去之后，它应该整个的波段之内都是在有序的环境下，最后冲到S1。比如你拿成交量来讲，你看这根就有点S1，它虽然没有前面那高，但是这个毕竟在这个前期高点的这一波段之内，比它要多了，比他多，所以这位置是出来之后很难受的，该减还是要减？对，大哥步步为营。对，没错，非常好。
	步步为营。那就今天讲的这个，大家记一下，这个是外面你查阅任何的资料，都没有人给你讲清楚这个原理，就是有序跟无序。你就现在在DP sig上面搜，你在豆瓣上搜，说均线分有序跟无序吗？经典理论作来自于哪儿？没有，所以估计今天很多做那些盗版欺骗的，又又能出去圈钱了，又能出去圈钱了。
	所以也就是你们在选股的时候，比如你看这玩意儿，我问你这玩意儿做吗？肯定不做，对不对？西罗大作手是吧？西罗大作手你看这他妈什么玩意儿，对吧？你说你这个黄线，这你是干嘛呢？你是压制还是支撑？没有，很乱，太乱了。你说你这上去之后，**这太乱，什么玩意儿？下来之后，你看谁很乱，不做那不不做像比如你看在这个位置这儿，我跟你讲，就是纯交易角度来讲，在这位置它这是14.62，如果它是12.62的话，勾大幅值，你把这看成假阴真阳的话，有交易机会可以无所谓的。
	可以有交易机会。
	但是这图形肯定我不做，我就说这意思，因为它你看看着看着白象了吗？看到白象了吗，看见白象了吗？是不是从这儿开始一直就有序了，说明有一短桩来了，看到了吗？是不是这个完了，这乱七八糟，你看上面是这个有序的下跌，有序空投转有序白线之中的多头到这儿来一个，对吧？那你要做那就一根，也就一根，因为这他妈太太不可靠了。给吗？倒是给了一个，**给一个，**给两根，给三根，可以，**有点意思，有点意思，你要记住就是有序跟无序，你就抓住它有序阶段，有序空头转多头的这个位置的确认点，就是勾大赋值进去，明白吧？就这个沟大幅值这位置进去，短装一波带走下来嘎直接从哪儿来回哪去A杀下来，这就是短装，从这儿开始的，他收集筹码，收集筹码，说句话从这儿开始，你看这个位置是开始有序的空投，对吧？
	长长上影线有序的空投开始收集收码，然后加速收集，然后洗盘，然后一波快速的拉升波，就冲刺波，然后打熄火完蛋操，所以这就是有序跟无序大家的勾大幅值，只在有序里边去找B1B2当然也是了，但是B2基本上就拉起来了。但是这边相当于什么？今天说相当于给大家多了一个持股的依据，就持股的依据。比如你看这个肯定这不有依据吗？主力高空了，对吧？你让我看这个从这儿就从这个位置一起来，底部涨停板一起来以后，这就你看黄黄线，这不就是非常好的支撑吗？这不很有序吗？回来这儿破了，这儿破了，短暂的无序又起来了，这儿又白神又有序了，这儿起来之后白线无序，这些就属于这个票是属于主力，就是在这里边反复的做波段，反复的做波段，科技票都是这样反复做波段。但是你看它历史走势来讲，强不强强不强一般，但是肯定是有序，这一看就是有序的票。绝大部分票在大部分时间其实是无序的。后面会跟大家。
	讲如何。
	找到中长线可以反复轮的。比如后面咱们就在讲大钱，大年初三大年初三咱们加三第一节课大大前不折腾，跟大家讲这个中长期的确定性。所以今天讲的这个点只是一个抛砖引玉，给你们一个比以前的认知再提高一下的，之前知其所以然的一个基本知识。
